Occurrence_Id,Local_Date_Main_Event,Date_Main_Event_Unconfirmed,Year_Reported,Occurrence_Severity,Main_Event_L1,Main_Event_L2,Main_Event_L3,Not_Vessel_Operations,Short_Description,Description,State_Reporting,National_Location_L1,National_Location_L2,Latitude,Longitude,Lat_Long_Unknown,Port_Of_Accident_L1,Port_Of_Accident_L2,Vessel_Profile_Id,Vessel_Severity,Flag_State,Vessel_Category_L1,Vessel_Category_L2,Ship_Craft_Type_L1,Ship_Craft_Type_L2,Ship_Craft_Type_L3,Ship_Craft_Type_L4,Ship_Craft_Type_L5,Is_Commercial_Vessel,Ship_Boat,Registered_Length_In_Metres,LOA_Length_Overall_in_Metres,GT_Gross_Tonnage,Hull_Material,Year_Built,Deaths_Crew,Deaths_Passenger,Deaths_Other,Deaths_Total,Injuries_Crew,Injuries_Passenger,Injuries_Other,Injuries_Total,Loss_Of_Vessel_Damage,Did_The_Vessel_Sink,Vessel_Abandoned,Damage_Description,Pollution_Result,Crew_Voyage,Voyage_Segment,Pilot_On_Board,Place_On_Board_L1,Place_On_Board_L2,Place_On_Board_L3,Place_On_Board_L4,Place_On_Board_L5,Port_Of_Departure_L1,Port_Of_Departure_L2,Publication_Date,Publication_No,Publication_Type,Published_Report_Website_Link,Vessel_Record_Modified_On
7aa981ad-962f-ef11-840a-6045bd0b033c,2024-06-01,No,2024,Marine Incident,Loss Of Control,Loss Of Directional Control,,FALSE,A service vessel experienced a loss of propulsion control and made contact with a moored fishing vessel,"The service vessel entered the harbour, whilst manoeuvring the vessel split controls to perform a turn. The starboard propeller didn’t respond to the command. The master attempted to counteract the action by putting both engines ahead increasing engine RPM but the starboard propeller remained heading astern. The service vessel made contact with a moored fishing vessel. No injuries to crew or passengers and no reported pollution.",UK,United Kingdom,England,55.1187,-1.4973,NA,UNITED KINGDOM,Blyth,21809386-982f-ef11-840a-6045bd0b033c,Marine Incident,UNITED KINGDOM,"Small Commercial (under 100gt, excl. FVs)",,Service ship,Other,,,,TRUE,,19,21,38,Aluminium alloy,2011,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,Yes,Damage to bulwark ,NA,2,Arrival,No,Ship,Quarter,Aft,Port,Above the waterline,UNITED KINGDOM,Blyth,,,,,2024-08-20
584807bb-2753-ef11-bfe3-6045bd0ac912,2024-08-01,No,2024,Marine Incident,Damage / Loss Of Equipment,,,FALSE,Container ship's pilot ladder did not conform to SOLAS regulations.,"Container ship's pilot ladder did not conform to SOLAS regulations. Shackles used as primary securing with adequately sized ropes as secondary but tied off to a vent pipe- see photographs. Discussed with the Captain, Chief Officer and Bosun, receptive and assured will be rectified on departure.",UK,United Kingdom,England,51.4422,0.7696,n/a,UNITED KINGDOM,Sheerness,ce9aa80e-2953-ef11-bfe3-6045bd0ac912,Marine Incident,PANAMA,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,Bulk Carrier,,,TRUE,,140,150,14000,Steel,1996,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,,Departure,Yes,Ship,Unknown,,,,UNITED KINGDOM,Sheerness,,,,,2024-12-18
db7e0594-dc91-ef11-8a6a-6045bd0cb55a,2024-10-01,No,2024,Very Serious,Fire / Explosion,Explosion,,FALSE,Investigated by another state,Investigated by another state,UK,United Kingdom,England,51.4396,0.7425,,UNITED KINGDOM,Sheerness,e49fb316-dd91-ef11-8a6a-6045bd0cb55a,Very Serious,ANTIGUA AND BARBUDA,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,Bulk Carrier,,,TRUE,,110,110,5100,Steel,2000,1,0,0,1,0,0,0,0,Material damage -> Affecting structural integrity of the ship,No,No,Investigated by another state,No Pollution,11,Anchored or alongside,n/a,Pump room,Pump room,,,,UNITED KINGDOM,Sheerness,,,,,2024-11-22
88af342c-09a8-ef11-b8e8-000d3a0ccf85,2024-11-01,No,2024,Marine Incident,Contact,Shore Object,,FALSE,A general cargo vessel made contact with a berth during manoeuvring operations.,"A general cargo vessel was being manoeuvred to come alongside a berth with a pilot on board when it made contact with the berth, resulting in minor damage to the bow of the vessel and to the berth. When the vessel was close to the berth, the tide caught the stern of the vessel resulting in an increased rate of tern and despite the efforts of the crew and pilot to prevent the vessel from swinging out of control, the bow of the vessel still struck the berth. The pilot had asked before the manoeuvre that they would be in charge of the conduct of navigation, however once the vessel was close to the berth the captain had requested to take over the con. The pilot reported that the captain may have been over confident in their ability to manoeuvre the vessel and underestimated the effects of the current and tide.",UK,United Kingdom,England,51.4397,0.741,,UNITED KINGDOM,Sheerness,5782ef79-09a8-ef11-b8e8-000d3a0ccf85,Marine Incident,ANTIGUA AND BARBUDA,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,88,89,2500,Steel,2021,0,0,0,0,0,0,0,0,Minor damage (less than material damage),No,No,Minor plate damage to the bow. Minor damage to the quay edge and one fender.,No Pollution,8,Arrival,Yes,,,,,,SWEDEN,,,,,,2024-11-22
1d0d6c1a-84b4-ee11-a568-002248c8714f,2024-01-01,No,2024,Less Serious,Accident to person(s),,,FALSE,A cruise ship crewmember fractured their finger,"A cruise ship crewmember was working in a passenger cabin during passenger turn-around, changing bed sheets, when they fractured their finger. Reportedly, when removing the sheet from the mattress, it became stuck on the corner of the bunk and in order to remove it, the crew member lifted the mattress. However their finger became stuck in the mechanism of the bunk resulting in a fracture to their right ring finger. The area was inspected and there were no defects found and the cause of the injury was reportedly due to the crew member putting their finger in a place that they didn't need to whilst changing the bed linen. ",UK,,,-37.839767,144.925867,NA,AUSTRALIA,,68901ac2-86b4-ee11-a568-002248c87a1d,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,220,260,77000,Steel,1997,0,0,0,0,1,0,0,1,No damage,No,No,NA,NA,860,Anchored or alongside,No,Accommodation,Cabin space - passengers,,,,AUSTRALIA,,,,,,2024-06-04
b0da5bfd-30b9-ee11-9078-002248c87a40,2024-01-01,No,2024,Less Serious,Accident to person(s),,,FALSE,Cruise ship's passenger lost their balance and fell resulting in a closed fracture.,Cruise ship's passenger was descending the stairs when they slipped and fell resulting in them sliding down the steps of the staircase. They came to a rest on their back at the bottom of the stairs. This resulted in a fractured shoulder. ,UK,,,-38.07,144.918333,NA,AUSTRALIA,,683ba045-31b9-ee11-9078-002248c87a40,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,0,280,100000,Steel,2001,0,0,0,0,0,1,0,1,No damage,No,No,NA,No Pollution,1099,Mid-water,Yes,Accommodation,Stairway/Ladders,,,,AUSTRALIA,,,,,,2024-06-05
0d08f889-0de6-ee11-904d-002248c87a1d,2024-03-01,No,2024,Less Serious,Accident to person(s),,,FALSE,Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle.,"Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle. Passenger was walking down the aft passenger staircase leading to the International Dining Room. Suddenly an unknown passenger bumped there shoulder from behind, passenger lost there balance and landed on the next step twisting there left ankle.",UK,,,35.4567,139.6685,NA,JAPAN,,64fd7408-0ee6-ee11-904d-002248c87a1d,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,0,290,110000,Steel,2004,0,0,0,0,0,1,0,1,No damage,No,No,NA,NA,1081,Anchored or alongside,No,Ship,Stairs/ladders,,,,JAPAN,,,,,,2024-07-08
2db8106a-756b-ef11-a670-6045bd0ce93b,2024-09-01,No,2024,Less Serious,Accident to person(s),,,FALSE,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,UK,,,35.4559,139.651,n/a,JAPAN,,9d08a7d8-776b-ef11-a670-6045bd0ce93b,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,290,290,110000,Steel,2004,0,0,0,0,0,1,0,1,No damage,No,No,None,No Pollution,1062,Anchored or alongside,No,Accommodation,Alleyway,,,,JAPAN,,,,,,2024-09-09
c0f4a943-8c6f-ef11-a670-6045bd0c1332,2024-09-01,No,2024,Less Serious,Accident to person(s),,,FALSE,Cruise ships crew member injured their back while lifting linen.,"Cruise ships crew member injured back while lifting linen. They were collecting dirty linen outside each cabin to load on a trolley. When lifting a bunch of towels/bed linen they felt pain in their back. In the afternoon they were involved in luggage dispatching. At that time, they felt pain in the back again. The following day, in the afternoon the crewmember went to the ship’s hospital. The ship’s doctor gave them medicine and decided to send ashore for an orthopaedic consultation.",UK,,,35.4514,139.6406,n/a,JAPAN,,d6221b0b-3b70-ef11-a670-6045bd0ce93b,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,290,290,110000,Steel,2004,0,0,0,0,1,0,0,1,No damage,No,No,None,No Pollution,1049,Anchored or alongside,No,Accommodation,Cabin space - passengers,,,,JAPAN,,,,,,2024-09-23
1838ac73-1d7f-ef11-ac20-6045bd0c61bd,2024-09-01,No,2024,Less Serious,Accident to person(s),,,FALSE,A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine.,"A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine. Went to catch a ball then accidentally tripped on one there shoes and fell on there right side, landing on deck with there buttocks. The hit on deck was quite strong and the backlash injuring the spine.",UK,,,-37.8448,144.9328,n/a,AUSTRALIA,,e5b5e0fa-1d7f-ef11-ac20-6045bd0c61bd,Less Serious,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,290,290,110000,Steel,2004,0,0,0,0,0,1,0,1,No damage,No,No,None,No Pollution,1065,Anchored or alongside,No,Ship,Deck,Accommodation (outside accommodation spaces),,,AUSTRALIA,,,,,,2024-09-30
680f62fa-40ab-ef11-b8e8-002248c7c668,2024-11-01,No,2024,Marine Incident,Loss Of Control,Loss Of Directional Control,,FALSE,"Cruise ship lost steering control, steering restored soon after.","Cruise ship lost steering control, steering restored soon after. Ship was proceeding under hand steering at 7 knots in the approach channel. Pilot had the con. In approach hand steering control was lost. Vessel position and heading control was maintained instead by use of bow and stern thrusters. Within 1 minute of the event, steering control of both rudders had been restored. The vessel continued on passage and safely docked without further incident.",UK,,,-37.865,144.928333,n/a,AUSTRALIA,,83e04b91-41ab-ef11-b8e8-002248c7c668,Marine Incident,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Only passenger,International,,,TRUE,,220,260,77000,Steel,1997,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,843,Mid-water,Yes,Engine department,Steering gear room,,,,AUSTRALIA,,,,,,2024-11-25
c73863bf-eda7-ef11-b8e8-002248006bd7,2024-11-01,No,2024,Less Serious,Collision,Ship Not Underway,,FALSE,A general cargo vessel collided with a berthed vessel during manoeuvring near the berth.,"A general cargo vessel was manoeuvring off a berth with a pilot on board when the bow of the vessel came into contact with the stern of another general cargo vessel that was berthed. There were no injuries, serious damage or pollution. Minor cosmetic damage of the berthed vessel was reported. The general cargo vessel with the pilot continued on its outbound passage and the forward tank in the area of the collision was monitored for water ingress, of which none was observed. The vessel continued on its passage after disembarking the pilot.",UK,United Kingdom,England,53.6065,-0.7161,,UNITED KINGDOM,Scunthorpe,2ccbf8eb-fba7-ef11-b8e8-002248006bd7,Less Serious,NETHERLANDS,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,88,88,2500,Steel,2024,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,,Anchored or alongside,No,,,,,,UNITED KINGDOM,Gunness Wharf,,,,,2024-11-22
c73863bf-eda7-ef11-b8e8-002248006bd7,2024-11-01,No,2024,Less Serious,Collision,Ship Not Underway,,FALSE,A general cargo vessel collided with a berthed vessel during manoeuvring near the berth.,"A general cargo vessel was manoeuvring off a berth with a pilot on board when the bow of the vessel came into contact with the stern of another general cargo vessel that was berthed. There were no injuries, serious damage or pollution. Minor cosmetic damage of the berthed vessel was reported. The general cargo vessel with the pilot continued on its outbound passage and the forward tank in the area of the collision was monitored for water ingress, of which none was observed. The vessel continued on its passage after disembarking the pilot.",UK,United Kingdom,England,53.6065,-0.7161,,UNITED KINGDOM,Scunthorpe,6fd12a3b-efa7-ef11-b8e8-002248006bd7,Less Serious,ANTIGUA AND BARBUDA,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,0,93,2900,Steel,2024,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,,Departure,Yes,,,,,,UNITED KINGDOM,Gunness Wharf,,,,,2024-11-22
96b6c9d9-47bd-ef11-b8e8-000d3a86dfe8,2024-12-01,No,2024,Less Serious,Grounding / Stranding,Drift,,FALSE,A general cargo vessel grounded whilst alongside.,A general cargo vessel was alongside when it grounded on a falling tide. The sea floor sloped away from the berth causing the vessel to develop a list of 10 degrees away from the berth and part one of its mooring lines. As the tide began to rise a tug assisted the vessel so that it did not slip further and was able to help it back alongside.,UK,United Kingdom,England,53.606333,-0.714517,,UNITED KINGDOM,Scunthorpe,d3b725a3-48bd-ef11-b8e8-000d3a86dfe8,Less Serious,PORTUGAL,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,89,89,2500,Steel,2024,0,0,0,0,0,0,0,0,No damage,No,No,One parted mooring line.,No Pollution,8,Anchored or alongside,No,,,,,,SPAIN,,,,,,2024-12-18
4db27472-97d4-ee11-904d-002248c87217,2024-02-01,No,2024,Very Serious,Flooding / Foundering,Flooding,,FALSE,Recreational craft took on water while alongside resulting in loss of vessel.,"Recreational craft took on water while alongside. Water ingress discovered when arriving at boat on Saturday 24th Feb. Bilges filled, engine and battery box flooded. Boat had been lifted into water 3 days previously. External pump used to drain, leak investigated and discovered. Vessel lifted out of water for repairs.",UK,United Kingdom,England,52.0335,1.1523,n/a,UNITED KINGDOM,Ipswich,b596ee1c-98d4-ee11-904d-002248c8796d,Very Serious,UNITED KINGDOM,"Small Commercial (under 100gt, excl. FVs)",,Recreational craft,Sailboat (sail only),,,,TRUE,,0,15,24,Other,1997,0,0,0,0,0,0,0,0,Loss of ship -> Constructive loss,Yes,No,"Flooding to engine and gearbox, battery box flooded. Leak detected at forward head holding tank bronze fitting to seacock. Bilge pump was not switched to auto mode when vessel lifted back into water.",No Pollution,,Anchored or alongside,No,Ship,Unknown,,,,UNITED KINGDOM,Ipswich,,,,,2024-11-15
089bab93-12b9-ee11-9078-002248c87a51,2024-01-01,No,2024,Less Serious,Grounding / Stranding,Power,,FALSE,General cargo vessel grounded resulting in no damage.,General cargo vessel was departing when it proceeded upstream manoeuvring slowly. There was an attempt to apply the helm order but steering appeared unresponsive and the vessel moved across to rest in soft mud. The main engine astern and the bow thruster which then allowed the vessel to manoeuvre off the mud and proceed to passage. No damage was reported on the vessel. ,UK,United Kingdom,England,53.3474,-2.7311,NA,UNITED KINGDOM,Runcorn,9a1e0afe-12b9-ee11-9078-002248c87a51,Less Serious,BAHAMAS,Merchant Vessel >= 100gt,500gt or more,Cargo ship,Solid Cargo,General Cargo,,,TRUE,,0,90,2800,Steel,1995,0,0,0,0,0,0,0,0,No damage,No,No,NA,No Pollution,,Departure,Yes,Ship,Unknown,,,,UNITED KINGDOM,Runcorn,,,,,2024-06-05
9812e39e-05c1-ee11-9079-002248c87a51,2024-01-01,No,2024,Marine Incident,Fire / Explosion,Fire,,FALSE,A ro-pax vessel appeared to have a fire on one of the vehicles that was loaded,"A ro-pax vessel was loading vehicles when smoke was noticed from an articulated lorry. The crew initiated fire fighting procedures and discharged a dry powder extinguisher in the rear of the cab. After the initial emergency actions had been completed, the crew discovered that the smoke was not from a fire but from the exhaust gas from the cab heater. There were no injuries, pollution or damage from the incident. ",UK,United Kingdom,Wales,53.3176,-4.6202,NA,UNITED KINGDOM,Holyhead,9181e849-07c1-ee11-9079-002248c87a51,Marine Incident,UNITED KINGDOM,Merchant Vessel >= 100gt,500gt or more,Passenger ship,Passenger and Ro-Ro cargo,International,,,TRUE,,0,160,24000,Steel,2000,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,61,Anchored or alongside,No,Cargo and tank areas,Ro-Ro vehicle deck ramp,,,,UNITED KINGDOM,Holyhead,,,,,2024-06-07
44eb3e45-4cd2-ee11-9079-002248c87a1d,2024-02-01,No,2024,Less Serious,Collision,With Other Ship,,FALSE,A pilot vessel and a bunker barge collided,"A pilot boat was coming alongside a tanker that was outbound from port in order to carry out pilot transfer operations, when the pilot boat was lifted by a wave and collided with the railings of the tanker. The railings were bent backwards but not significantly and the vessels were able to continue with the operation after the incident. There were no injuries or pollution. ",UK,United Kingdom,Wales,53.3328,-4.6115,NA,UNITED KINGDOM,Holyhead,024b3944-4dd2-ee11-9079-002248c8714f,Less Serious,UNITED KINGDOM,"Small Commercial (under 100gt, excl. FVs)",,Service ship,Special purpose ship,,,,TRUE,,0,13,20,Steel,2016,0,0,0,0,0,0,0,0,No damage,No,No,None,No Pollution,,Mid-water,n/a,,,,,,UNITED KINGDOM,Holyhead,,,,,2024-06-14
