Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013335","2","KARIN HOJ (IMO 8685844), SCOT CARRIER (IMO 9841782)","KARIN HOJ: Unknown/unspecified, SCOT CARRIER: SOLAS","GBR,XDA","2021-12-13 03:30","Very serious","551340N 0141469E","Baltic Sea, off Sweden","1","0","Collision","The Danish-registered cargo ship Karin Hoej collided with the united Kingdom registered flagged vessel Scot Carrier in the Baltic Sea off the Swedish coast, causing one to overturn. The collision occurred on 13 December 2021  The Scot Carrier was en route to the east coast of Scotland. It is not clear what cargo it was transporting or how many people were on board.
The Scot Carrier is 90m (295ft) long and the Karin Hoej is 55m.

As a result of the collision, the cargo ship Karin Hoj capsized with two crew missing.","Hopper, Motor","Loss of life","408","","492","","","","","2","0","0","0","0","0","2023-11-08",""
"C0013637","1","DON TOMASSO (-)","DON TOMASSO: Non-SOLAS","ARG","2021-12-11 10:55","Very serious","433000S 0645500W","Mar Argentino, Rawson Provincia de Chubut","1","0","Capsizing / listing","El 11 de diciembre de 2021 aproximadamente a las 10:551 el B/P Don Tomasso se encontraba en maniobra de pesca a 12 mn de la costa, cuando se dio vuelta campana y se hundió. Como consecuencia del suceso el B/P Sofía B y el B/P Caleta Paula acudieron al auxilio de la tripulación, rescatando esta última embarcación a 6 tripulantes con vida, y el B/P Sofía B el cuerpo sin vida de uno de los marineros.","Fish Catching Vessel","Loss of life,Total loss of the ship","37","[Flag Administration]","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-11-11",""
"C0013807","1","MOANA CHIEF (IMO 9516741)","MOANA CHIEF: SOLAS","NZL","2021-12-10 07:26","Unspecified"," ","Ports of Auckland","1","0","","On the morning of 10 December 2021, the container vessel Moana Chief was preparing to leave the Port of Auckland. The crew had started retrieving the telescopic accommodation ladder when a crew member’s lower leg got trapped between the fixed upper ladder and the moving lower ladder, resulting in serious injury to their leg.
As crew members were retrieving the accommodation ladder, it slipped off the Port platform on which it was resting. The slack side chains allowed the ladder to drop and the weight of the ladder was transferred to the fall wire, which caused the lower ladder to slide upwards. A crew member, who was standing in an area that had previously been identified and designated as a danger area, was seriously injured.
Actions to retrieve the accommodation ladder were not consistent with the procedures documented in the vessel's Safety Management System. Several control measures listed in the risk assessment for deploying and retrieving the accommodation ladder were not implemented. 
It is very likely that the accident could have been prevented, if other crew members standing in the vicinity had intervened and alerted the winch operator to a crew member standing in the designated danger area.
","Container Ship (Fully Cellular)","Serious injuries","18358","DNV GL AS","23305","Containers","16","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-05-08",""
"C0013636","1","SUMATRA (IMO 5343718)","SUMATRA: Non-SOLAS","ARG","2021-12-09 06:45","Serious","404350S 0645600W","Aguas Interiores, Muelle Heleno Arcángel, Puerto de San Antonio Oeste, Rio Negro","2","0","Fire or explosion","El 9 de diciembre de 2021 aproximadamente a las 06:451 el buque Sumatra se encontraba amarrado en el muelle “Heleno Arcángel” del puerto de San Antonio Oeste, Río Negro, cuando se originó un incendio que se extendió también a otro buque pesquero, amarrado en andana. Como consecuencia del suceso se reportaron daños en ambos buques y en el muelle. No se registraron personas lesionadas ni daños al medio ambiente. ","Fish Factory Ship / Fish Carrier","Ship rendered unfit to proceed","173","[Flag Administration]","85","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-02-14",""
"C0013732","1","SEA QUEEN (IMO 7915591)","SEA QUEEN: SOLAS","TGO","2021-12-08 00:00","Very serious","312700N 0301700E","Mediterranean Sea","0","0","Foundering","Sustained a mechanical failure, developed list and sank in the Mediterranean Sea 17 miles NE of Abu Qir, Egypt in lat. 31° 27' 50"" N, long. 30° 17' 40"" E on 08/12/21 in heavy weather. AHTS 'Maridive 518' and tugs 'Svitzer Rasheed' and 'Svitzer Delta' proceeded to assist. 11 crew rescued and the bodies of 3 remaining crew recovered from the sea and taken ashore. The wreck of the vessel remained at the scene","General Cargo Ship","Loss of life,Total loss of the ship","2981","","3778","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013560","1","ALMIRANTE STORNI (IMO 9497452)","ALMIRANTE STORNI: SOLAS","LBR","2021-12-04 14:45","Serious","573370N 0113520E","Gothanburg Anchorage","1","0","Fire or explosion","At 1445 LT on 4 December 4, 2021, while the vessel was at anchor in Gothenburg Anchorage ""A"", and the ship was taking bunkers from the barge AMAK SWAN on the port side, the duty watch stander reported smoke coming form the port side forward.  An alarm was sounded and the crew was mustered to fight the fire and crane number 2. The fire teams continued fighting the flames coming from the under the cargo in hold number 1. near the position of the crane number 1. on the Port side. Fire accelerated due to strong winds. Crew managed to keep the fore under control and stopped the spread until external help arrived from Swedish Coast Guard.  ","Bulk Carrier","","19994","DNV GL AS","31796","Sawn Timber","17","","","0","0","0","0","0","0","2024-07-10",""
"C0013502","1","TAMIMI 6 (IMO 9910442)","TAMIMI 6: SOLAS","SAU","2021-12-02 18:20","Less serious","280100N 0441000E","TNAJEEP","2","0","Collision","On December 2, 2021, at the time of 1820 on Thursday, the ship was heading from the Arab field to the port of Tanajib and collided with a sea buoy, where the wind speed at the time of the accident was high and reached between 20-25 knots per hour, which caused the ship to push towards the sea buoy, as well as confusion The assistant who was driving the ship due to stress and fatigue as a result of working between (6) hours of work and (6) hours of rest for a period of (8) continuous months without a vacation","Crew/Supply Vessel","","293","","82","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-04-04",""
"C0013731","1","SHREE KRISHNA-VIII (IMO 8652990)","SHREE KRISHNA-VIII: SOLAS","IND","2021-12-02 00:00","Very serious","152400N 0733400E","Arabian Sea","0","0","","Took water and sank in the Arabian Sea 15 miles W of Mormugao, India in lat. 15° 24' 00"" N, long. 73° 34' 00"" E on 02/12/21 in heavy weather. 2 crew rescued from the water by an Indian coast guard Chetak helicopter and another by a patrol vessel. 2 more were rescued by local fishing vessels and 1 body was recovered. The remaining 4 crew were missing. The rescued crew had been in the sea for over 24 hours and were taken to Goa Medical School for medical treatment. Coast guard Dornier 228 aircraft assisted with continuing SAR operations.","General Cargo Ship","Loss of life,Total loss of the ship","1520","","2450","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013730","1","HOUEI CRYSTAL (IMO 9519559)","HOUEI CRYSTAL: SOLAS","PAN","2021-12-01 16:31","Very serious","385600N 1310900E","Sea of Japan","1","0","Capsizing / listing","Took water in cargo hold no. 2, developed list to port and subsequently sank in the Sea of Japan, 97 miles NE of Ulleung-do, South Korea in lat. 38° 56' 10"" N, long. 131° 09 20"" E at 16:31 hours local time (UTC+9) on 01/12/21 in heavy weather. 17 crew abandoned ship to a lifeboat and nearby MV 'Region 87' attended the scene but was unable to rescue the crew due to the adverse weather. All 17 crew were rescued by a South Korean coast guard vessel 12 hours later and taken to Donghae, South Korea. No serious injuries reported. An 18th crew member fell into the sea earlier the same day and went missing. South Korean, North Korean and Japanese coast guard ships and aircraft effected SAR operations.","General Cargo Ship","Loss of life,Total loss of the ship","5762","","8776","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-05-08",""
"C0013563","1","MAMMAD AMIN RESULZADEH (IMO 9175157)","GARAKAC: Unknown/unspecified, MAMMAD AMIN RESULZADEH: SOLAS","LBR","2021-12-01 01:40","Serious","452825N 0364009E","Anchorage in Kerch Strait","0","0","Collision","Prior to Dесеnber 1, 2021, the  MV ""MAMMAD AMIN RESULZADEH"" (IMO 9175157i,пЬеr 202] was at anchor in the KERCH STRAIT, when they received notification from  KASKAZ VTS that the MV ""GARAKAC"" (IMO 7812945) was underway to change her anchorage position but was  had slipped its anchorage position  and was being being set by the wind in the direction of the  MV ""MAMMAD AMIN RESULZADEH."" 
At 01:4S LT the MV ""GARAKAC""s stеrп side collided with MV ""MAMMAD AMIN RESULZADEH."".
At 01:45 LT the MV ""GАRАКАС"" s propeller hooked роrt anchor chain of the ""MAMMAD AMIN RESULZADEH."" .
After inspection of forecastle Ьу deck team in the Ьоw was found the side of the MV  MV ""MAMMAD AMIN RESULZADEH"" was found to be set in about 2 meters above the waterline.
At 02:44 LT the crew of the MV ""MAMMAD AMIN RESULZADEH"" was able to release аuг роrt апсhоr chain, but апсhоr chain had Ьееп tied in а knot Ьу MV ""GARAKAC""s  rореilеr.
At 03:10 АМ local time we геаlizеd that it would поt Ье possible to heave uр апсhоr, as the knot iп the апсhоr chain саппоt pass through the апсhоr hаwse pipe. Master оrdеred to rеlеаsе the апсhоr chain's bitter end as the ships were close to each other and it was about 1.5 NM to the shore. 
At 03:20 АМ LT роrt anchor's chain locker was орепеd and the chain and anchor released. ","General Cargo Ship","Ship rendered unfit to proceed","5056","Russian Maritime Register of Shipping (RMRS)","6131","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013810","2","ATLANTIC GRACE (IMO 9337511), AVIATOR (IMO 9363754)","ATLANTIC GRACE: SOLAS, AVIATOR: SOLAS","HKG,MHL","2021-11-26 20:36","Very serious","223590N 0691439E","Gulf of Kutch","0","0","Collision","On the evening of 26 November 2021, the 18,957 DWT bulk carrier AVIATOR and the 49,999 DWT tanker ATLANTIC GRACE collided in the Gulf of Kutch. AVIATOR was in ballast and was proceeding inbound using the Deep Water route to the anchorage off Kandla. ATLANTIC GRACE was also in ballast and was outbound in the Deep Water route en route Fujairah. AVIATOR was declared a constructive total loss.","Bulk Carrier","Total loss of the ship","11743","Nippon Kaiji Kyokai (NKK)","18957","","22","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013690","1","Chemical Master (IMO 9558957)","Chemical Master: Unknown/unspecified","MLT","2021-11-22 23:30","Very serious","380971N 0094525W","Open sea","1","0","Fire or explosion","At about 1136 on 14 November 2021, Chemical Master departed Haifa, Israel, loaded with a cargo of petrochemicals bound for Amsterdam, The Netherlands, with an ETA at 0200 on 27 November 2021. At around 2330 on 22 November 2021, a fire was detected in the engine-room whilst the vessel was in transit, about 30 nautical miles (nm) off the coast of Portugal. The crew mustered on the poop deck, where it was confirmed that the fourth engineer and the motorman on duty were missing. Quick closing valves (QCVs) were activated, and the engine-room fire dampers were closed. Fire parties were organised, with the first party entering the engine-room at 2345. At 0000, the fire was declared extinguished. The second fire party entered the engine-room at 0003 and located the missing two crew members on the engine-rooms second deck; the motorman was found inside the ECR and the fourth engineer was outside the ECR. Both crew members were carried to the poop deck and given CPR. In the meantime, the Portuguese Coastguard was contacted for medical assistance and both crew members were eventually airlifted. However, the vessel was later informed that both crew members had not survived. Chemical Master was towed to Lisbon, where temporary repairs were carried out to enable the vessel to sail to Poland for permanent repairs. The safety investigation concluded that the cause of the fire may have been related to either accidental spillage, or spray of diesel oil / waste oil onto the incinerator, directly from the deck above whilst the incinerator was either in use or hot after being operated just before the fire.","Liquefied Gas Tanker","Loss of life,Ship rendered unfit to proceed","8259","Nippon Kaiji Kyokai (NKK)","14298","Chemicals","23","0","0","2","0","0","0","0","0","2023-01-04",""
"C0013774","1","ALTHEA (IMO 9396309)","ALTHEA: SOLAS","MHL","2021-11-22 20:12","Very serious","113100S 0111800E","Offshore Angola","1","0","Fire or explosion","Accommodation space fire, originating in an unoccupied crew cabin, which resulted in the death of one crewmember (who was resting in their cabin at the time of the fire).","Chemical/Products Tanker","Loss of life","5046","DNV GL AS","6333","Chemical and Products","19","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-03-01",""
"C0013614","1","COTE D'OPALE (IMO 9858321)","COTE D'OPALE: Unknown/unspecified","FRA","2021-11-21 00:00","Serious","505804N 0015113E","Port","2","0","Contact","On Sunday, November 21, 2021, leaving berth from Calais port, after casting off the hawsers and starting its maneuver, the Cote d'Opale fell on the quay under the effect of the wind. A deckhand on the forecastle had his arm cut off by a fender.","Passenger / Ro-Ro Cargo Ship","Serious injuries,Ship remains fit to proceed","40331","","","","","0","","0","0","0","1","0","0","2022-08-17",""
"C0013561","2","barge MP-2812 (IMO no), PROTEY (IMO 9812298)","barge MP-2812: Unknown/unspecified, PROTEY: Non-SOLAS","RUS","2021-11-15 04:10","Very serious","595200N 1544800E","Sea of Okhotsk ","2","0","Towed barge sinking","11/15/2021 at 04.10 (UTC+10) while towing the non-self-propelled MP-2812 barge-platform by the PROTEY tug from the Kalalaga checkpoint to the port of Sovetskaya Gavan in stormy weather, the barge ""MP-2812"" lost its longitudinal strength and sank on depth of 58 m, 10 miles east of Cape Iretsky, Shelikhov Bay, Sea of Okhotsk.","Tug","Total loss of the ship","139","Bureau Veritas (BV)","101","No","9","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-06-16",""
"C0013635","1"," 7 DE AGOSTO (-)"," 7 DE AGOSTO: Non-SOLAS","ARG","2021-11-11 23:20","Very serious","412139S 0645515W","Aguas interiores, Golfo San Matías, Proximidades Islote Lobos, Rio Negro","1","0","Capsizing / listing","El 11 de noviembre de 2021 alrededor de las 1600 horas el buque pesquero 7 de Agosto zarpó del Puerto de San Antonio Oeste, Provincia de Río Negro con destino al Puerto de Sierra Grande, Provincia de Río Negro. El 11 de noviembre a las 23:20 horas, el Centro Coordinador de Búsqueda y Rescate Puerto Belgrano de la Armada Argentina tomó conocimiento de la activación de la radiobaliza de emergencia del buque (EPIRB) en una ubicación aproximada a 36 millas náuticas al sur del puerto de San Antonio Oeste y a 7 millas náuticas de la costa.","","Loss of life,Total loss of the ship","10","[Flag Administration]","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-11-11",""
"C0013672","1","JAWOR (IMO 9452608)","JAWOR: SOLAS","BHS","2021-11-09 11:00","Very serious","290950N 0582729W","on passage between Rotterdam to New Orleans","1","0","Crew Fatality","whilst on passage, identified areas of damage to its mooring lines and assigned crew to undertake repairs before load testing. Whilst carrying out the load testing, an ordinary seafarer was fatally injured when the mooring line he was guiding onto the winch drum sprung free from where it had fouled, striking him in the abdomen","Bulk Carrier","","43506","","79649","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-11-08",""
"C0013671","1","Aqua (IMO 9288435)","Aqua: Unknown/unspecified","MLT","2021-11-04 14:42","Serious","412460N 0463289W","Open sea","1","0","Damages to ship or equipment","In the afternoon of 04 November 2021, the bosun was working aloft with the hydroblaster to de-rust and clean a section of the forepeak tank. Several other crew members were in the forepeak tank to assist with the task. At one point, the bosun fell from a height of about 10 metres, to the bottom of the forepeak tank. He was later evacuated to a hospital. His fall led to disabilities which will prohibit him from pursuing his seafaring career. The safety investigation concluded that due to the restricted visibility in the forepeak tank, the bosun had most probably passed the rotating jet of the hydroblaster gun across the rope, which was connected to his safety harness.","Bulk Dry (general, ore) Carrier","Serious injuries","39964","Nippon Kaiji Kyokai (NKK)","76492","Dry bulk","22","0","0","0","0","0","1","0","0","2022-11-07",""
"C0013665","1","CELEBRITY MILLENNIUM (IMO 9189419)","CELEBRITY MILLENNIUM: Unknown/unspecified","MLT","2021-10-29 13:40","Less serious","225335N 1095328W","Coastal waters (within 12 miles)","1","0","Accidents with life-saving appliances","On 29 October 2021, whilst Celebrity Millennium was at anchor at Cabo San Lucas, Mexico, lifeboat / tender no. 11 was lowered and released at sea. While heaving up the davits floating blocks without the boat, the forward fall wire broke, causing the block to fall into the water. No injuries were reported. The safety investigation concluded that the fall wire sustained tensile overload, leading to the parting of the wire.","Passenger Ship","Ship remains fit to proceed","91011","Lloyd's Register (LR)","10293","","841","1142","0","0","0","0","0","0","0","2022-11-02",""
"C0013664","1","PGC PATREAS (IMO 9796169)","PGC PATREAS: Unknown/unspecified","MLT","2021-10-28 01:30","Serious","094093N 0905250E","Open sea","1","0","Damages to ship or equipment","Whilst PGC Patreas was on a voyage from Mal, Maldives, to Port Blair, India, the duty engineer, and the oiler were conducting a routine waste oil transfer from the sludge tank to the waste oil settling tank. Observing no change in the waste oil settling tank level, the oiler opened the flange of the float guide pipe and moved it aside to investigate. Immediately after, hot waste oil sprayed out from the opening, causing burn injuries to the oiler. Some of the escaping oil spilled on a running diesel generator and ignited. The safety investigation concluded that hot waste oil, which was above the float inside the float guide tube, sprayed out under pressure through the open flange.","Liquefied Gas Tanker","Serious injuries,Ship remains fit to proceed","6248","Bureau Veritas (BV)","6861","Liquefied gas","15","0","0","0","0","0","1","0","0","2022-11-01",""
"C0013677","1","SEGREDOS DO MAR (-)","SEGREDOS DO MAR: Unknown/unspecified","PRT","2021-10-27 22:45","Very serious","382476N 0090070W","Coastal waters (within 12 miles)","1","0","Fire or explosion","on 27-10-21, at 22:45 lt, The vessel was returning from fishery when a fire started in the engine room. The crew abandoned the vessel and the vessel sunk. The crew boarded a near by FV. There was no injuries nor pollution","Fish Catching Vessel","Ship rendered unfit to proceed,Total loss of the ship","44","","","","13","0","0","0","0","0","0","0","0","2022-12-12",""
