Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013900","1","Port Gdynia (IMO 9334387)","Port Gdynia: Unknown/unspecified","MLT","2022-10-07 07:25","Very serious","014950N 0094410E","Port","1","0","","During the early hours of 07 October 2022, Port Gdynia was moored alongside in the port of Bata, Equatorial Guinea. Cargo operations had been stopped due to heavy rain and stevedores had left the vessel. Upon resuming cargo operations, crew members noticed that one stevedore had fallen into cargo hold no. 1 and had suffered fatal injuries. No person witnessed the accident, but the safety investigation believes that a gap between distal and proximal cues may have been the main contributory cause of the accident.","Container Ship","Loss of life","34642","Polski Rejestr Statkow (Polish Register of Shipping) (PRS)","41956","Containers","18","0","0","0","0","1","0","0","0","2023-10-25",""
"C0013841","1","MADIANA (-)","MADIANA: Unknown/unspecified","FRA","2022-10-03 13:20","Less serious","484025N 0021099W","Coastal waters (within 12 miles)","1","0","","A seaman felt overboard when launching the dredge, he was recovered by the crew and keeep safe. This accident was most likely linked to an inattention during the preparation of the fishing gear. This accident, the consequences of which could have been dramatic, reminds us that the operations of launching fishing gear are particularly risky and that a moment of inattention is enough to cause a sailor to fall overboard.","Fish Catching Vessel","Serious injuries","20.91","","","","","0","","0","0","0","1","0","0","2023-07-13",""
"C0013779","1","FILIPA MIGUEL (IMO 8686927)","FILIPA MIGUEL: Unknown/unspecified","PRT","2022-09-27 05:00","Very serious","385766N 0185758W","Open sea","2","0","Fire or explosion","On 27-09-2022 the fishing vessel requested shore assistance due to a fire on board. The MRCC rescue the crew. Total loss of the vessel.","Fish Catching Vessel","Ship rendered unfit to proceed,Total loss of the ship","187","","","","8","0","0","0","0","0","0","0","0","2023-03-14",""
"C0013773","1","NORDLAND (-)","NORDLAND: Unknown/unspecified","SWE","2022-09-11 02:00","Very serious","591510N 0131936E","Inland waters","1","0","Fire or explosion","During the evening and the night towards Sunday, September 11, 2022, the work vessel NORDLAND, with two persons onboard, participated in repair work at a wind farm in lake Vnern. A tugboat also participated in the work. At around two oclock in the morning the master on NORDLAND could see smoke coming from the engine room. He drove the boat alongside of the tug boat and called for help. At first it seemed that the smoke subsided. To prevent that a possible fire would spread to the tug boat, they untied NORDLAND and let it drift. Two hours later NORDLAND caught fire. Since there were no people onboard and the ship did not block the fairway, it was decided to let it burn. At five oclock in the morning NORDLAND sank. The day after, the Swedish Coast Guard were able to salvage some of the remaining parts of the wreck from about 7 metres depth. The engines, transom, sterndrives and propellers were brought onboard the vessel KBV 051. The forwardmost part of the boats hull was left on the bottom of the lake, since it did not pose a threat to the environment. The fuel tanks were never recovered, possibly incinerated in the fire. After the salvage operation, oil could no longer be seen on the surface of the lake. According to information from the master, the progress of the fire was rapid and the fire was strong. This is supported by the very extensive damage where most of the ship was completely incinerated. The remaining parts were heavily destroyed and damaged by the heat, apart from the sterndrives and propellers which remained undamaged. The salvaged parts of the wreck were sold by the owner the day after the fire. Despite initial search efforts, the salvaged parts could not be found. These parts have therefore not been able to be examined other than through an examination of photographs. The assessment is that the wreckage that was recovered does not constitute a sufficient basis for determining the cause of the fire. No further research into the sold wreckage has therefore been done. All in all, the investigation material does not provide a basis for any more detailed conclusions about the cause of the incident and therefore also no basis for any safety-enhancing recommendations.","Other Activities Ships","Ship rendered unfit to proceed","","","","","","0","","0","0","0","0","0","0","2023-03-01",""
"C0013843","1","CINTHARTH (IMO 9222596)","CINTHARTH: Unknown/unspecified","FRA","2022-08-31 14:26","Very serious","483257N 0095677W","Open sea","1","0","Fire or explosion","The fishing vessel left the port of La Turballe on Saturday August 27, 2022 at 5:00 p.m. for a tuna trip with the vessel MAELYS CHARLIE. On August 30, 2022, the ships were 200 miles west of Ouessant. Around 3:00 p.m. a major leak brake out in the engine compartment of the CINTHARTH. Despite attempts to clog the waterway and the implementation of on-board drying facilities and those provided by surrounding vessels, the flooding was progressing. The skipper decided the next day, August 31, in the early morning, to abandon the ship, which sank at 3:30 p.m. at position 4820.67N 822.75W.","Fish Catching Vessel","","182.76","","","","","0","","0","0","0","0","0","0","2023-07-13",""
"C0013767","2","ADAM LNG (IMO 9501186), OS 35 (IMO 9172399)","ADAM LNG: Unknown/unspecified, OS 35: SOLAS","MHL,TUV","2022-08-29 22:11","Very serious"," ","Bay of Gibraltar (British Gibraltar Territorial Waters)","0","0","Collision","In progress","Bulk Dry (general, ore) Carrier","Pollution,Ship rendered unfit to proceed,Total loss of the ship","20947","Korean Register (KR)","35362","Steel Rebar","24","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013887","1","STENA SCANDICA (IMO 9329849)","STENA SCANDICA: Unknown/unspecified","DNK","2022-08-29 12:15","Serious","581453N 0190262E","Open sea","1","0","Fire or explosion","Fire broke out in a truck on an open vehicle deck. The fire was extinguished by means of drenchers and hoses by the crew, before it spread to other vehicles or compartments. The fire did however damages power cables essential to the operation of the ship and the ship's backup systems which were located on the deckhead above the burnt truck. This resulted in a complete blackout and the ship drifting uncontrollably towards the shallow waters of the Swedish island Faaroe. The crew manage to restore power and propulsion and avoid potential grounding. During the blackout, evacuation of vulnarable passengers by helicopter were initiated. No persons suffered injuries and the ship managed to return to port.","Passenger / Ro-Ro Cargo Ship","Ship rendered unfit to proceed","35456","RINA Services S.p.A (RINA)","","","58","0","241","0","0","0","0","0","0","2023-09-28",""
"C0013840","1","VARITA (-)","VARITA: Unknown/unspecified","LVA","2022-08-28 12:50","Very serious","571099N 0240399E","Coastal waters (within 12 miles)","1","0","","On August 28, 2022, the Transport Accident and Incident Investigation Bureau (hereinafter referred to as the Bureau) received a report by phone from MRCC Latvia, that a person fell overboard into the sea from the trawler VARITA.SAR was initiated, but no results.","Fish Catching Vessel","Loss of life","80","","34","","4","0","","1","0","0","0","0","0","2023-07-12",""
"C0013623","1","CEG ORBIT (IMO 8906224)","CEG ORBIT: Unknown/unspecified","FIN","2022-08-26 00:00","Less serious","542477N 0042171W","Open sea","3","0","Machinery damage","On 26.08.2021 MV CEG Orbit was en route from Liverpool to Belfast carrying some 1159,125 tons of wheat in her single cargo hold. Whilst crossing the Irish sea, the vessel ran aground at around 02:15 LT (UTC +2) at the northeast coast of the Isle of Man near the village of Cranstal. At the next high tide, the vessel was not able to free herself and had to be towed off with the assistance of a local tugboat. During low tide the vessel was lying completely dry on the beach. No injuries or pollution have been reported at any time.","General Cargo Ship","Ship remains fit to proceed","852","","1300","","6","0","","0","0","0","0","0","0","2022-08-26",""
"C0013790","2","ANDR E LARA (-), ZORRO (-)","ANDR E LARA: Unknown/unspecified, ZORRO: Unknown/unspecified","FRA,PRT","2022-08-18 23:30","Very serious","370135N 0075011W","Port","1","0","Collision","both vessel under were underway when the collision occured. Total loss of the fishing vessel and 3 injuries.","Fish Catching Vessel","Serious injuries,Ship rendered unfit to proceed","","","","","1","0","3","0","0","0","1","1","0","2023-04-03",""
"C0013747","1","BUNUN QUEEN (IMO 9912438)","BUNUN QUEEN: Unknown/unspecified, THUNDER: Unknown/unspecified","LBR","2022-07-23 13:14","Serious","280000N 0902062W","Southwest Pass GOM","0","0","Collision","At about 1314 LT on July 23, 2022, the BUNON QUEEN was underway in the GOM sailing East up the Southwest Pass Fairway with only the 2/O on watch, and steaming at sea speed, when it collided with OSV THUNDER with only the Master on watch. The OSV THUNDER struck the MV BUNON QUEEN’s port side, with hull damages to both vessels.","Bulk Carrier","","23759","","37299","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013765","1","SONILAND (IMO 9155949)","SONILAND: SOLAS","GIB","2022-07-22 15:10","Less serious"," ","Riga Shipyard","0","0","","Oil Spill during de-bunkering operations as a result of a cracked ballast pipe in the fuel tank.","General Cargo Ship","Ship remains fit to proceed","2820","","4085","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013766","1","SCHILLPLATE (IMO 9505285)","SCHILLPLATE: SOLAS","GIB","2022-07-21 14:30","Less serious"," ","Belfast","0","0","","TO BE COMPLETED","General Cargo Ship","Pollution,Ship remains fit to proceed","2415","","3175","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013868","1","Sunny Isles (IMO 9396775)","Sunny Isles: Unknown/unspecified","MLT","2022-07-18 14:15","Very serious","214599N 0595800E","Open sea","1","0","","On 18 July 2022, whilst Sunny Isles was en route from Al Jubail, Saudi Arabia, to Durban, South Africa, in a loaded condition, the second engineer was organizing and inspecting chain blocks in the engine-room, along with two other crew members. While looking for additional material required for the task, the other crew members found the second engineer trapped and unresponsive between a collapsed stack of spare steel plates and a guard rail, in the steering gear room. The second engineer suffered serious injuries and was evacuated to a shore hospital, by helicopter. However, he was pronounced dead on arrival. The safety investigation considered it likely that the stack of steel plates collapsed onto the second engineer, after a turnbuckle securing pin and its split pin slipped out, while he was either removing or inspecting a chain block in the plates securing arrangements.","Chemical Tanker","Loss of life","30056","Nippon Kaiji Kyokai (NKK)","50697","Other liquid","21","0","0","1","0","0","0","0","0","2023-08-07",""
"C0013735","1","NUSA PENIDA (IMO 8328317)","NUSA PENIDA: SOLAS","IDN","2022-07-16 17:00","Very serious","084436S 1160356E","Indonesia","0","0","Fire or explosion","On 16 July 2022 at 17:00 hours LT (UTC+8), the ship caught fire in the forward accommodation area whilst undergoing repairs at the Pt Dukuh Raya Shipyard, Lembar, Lombok, Indonesia, in LAT. 08 44' 36"" S, LONG. 116 03' 57"" E.
The blaze was extinguished with assistance from local firefighters an hour later. 1 crew member died in the incident. The accommodation area sustained damage. Inspection effected.","Passenger/Ro-Ro Ship (Vehicles)","Loss of life","649","","162","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013869","1","SEABOARD PIONEER (IMO 9374454)","SEABOARD PIONEER: SOLAS","LBR","2022-07-12 22:25","Very serious"," ","Kingston Harbour","0","0","casualty","On the night of Tuesday 12th July 2022 at approximately 2225 hrs, Mr. Scot Bamburry, a stevedore employed with Newport Stevedoring Services Limited fell and died while lashing containers onboard the SEABOARD PIONEER, which was docked at berth 7 Kingston Wharves Limited ( KWL)","Container Ship (Fully Cellular)","","26936","DNV AS (DNV)","34221","","23","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013846","1","Eurocargo Catania (IMO 9503627)","Eurocargo Catania: Unknown/unspecified","MLT","2022-07-09 20:05","Serious","404037N 0144442E","Port","1","0","","On the evening of 09 July 2022, Eurocargo Catania berthed at Salerno, Italy, for cargo operations. The vessel was loading the first semi-trailer on deck no. 3. One crew member was acting as a signal person, standing near the back of the semi-trailer. Another crew member was stationed on the side of the semi-trailer, ready to start securing, once in place. At one point, the signal person gave the signal to the driver to stop, but the semi-trailer kept reversing. Consequently, the signal person was caught between the semi-trailers side and one of the vessels transverse frames. He suffered crushing injuries and had to be transferred to a local hospital by ambulance.","Ro-Ro Cargo Ship","Serious injuries","29429","RINA Services S.p.A (RINA)","11320","Roll-on/Roll-off","25","1","0","0","0","0","1","0","0","2023-07-28",""
"C0013845","1","California Trader (IMO 9771664)","California Trader: Unknown/unspecified","MLT","2022-07-06 13:15","Less serious","061860N 0944489E","Open sea","1","0","Fire or explosion","On 06 July 2022, whilst California Trader was en route from Port Klang, Malaysia, to Nhava Sheva, India, the crew members were alerted by a fire alarm, which was followed by smoke rising from cargo hold no. 4. The crew members immediately commenced fire-fighting actions and eventually, activated the vessels fixed fire-extinguishing system for the cargo hold. Shortly after, the charterers advised the vessel to return to Port Klang. After arriving at Port Klang, the smoke was confirmed to have been emanating from a cargo container stowed in cargo hold no. 4. After unloading and opening the container, it was found that, along with the commodities listed in the cargo documents, it also contained what appeared to be charcoal tablets.","Container Ship","Ship remains fit to proceed","31370","[Other]","37000","","20","0","0","0","0","0","0","0","0","2023-07-27",""
"C0013734","1","FU JIN 001 (IMO 7826180)","FU JIN 001: SOLAS","CHN","2022-07-02 03:50","Very serious","211647N 1112246E","China","0","0","Sinking","On 2 July 20222 at 03:50 hours, LT (UTC+8), the ship broke moorings, dragged anchor, broke in two and sank whilst taking shelter in the South China Sea 12 miles SE of Dianbai, China, in LAT. 21 16' 48"" N, LONG. 111 22' 47"" E in typhoon 'Chaba'.
Subsequently, the ship sank late am later the same day. China rescue bureau attended the scene. 3 crew members were rescued by a helicopter from the government flying service of Hong Kong SAR. Another crew member was rescued by the PLA navy ship 'Nan Ning' 2 days later. The bodies of 25 crew had been recovered by 30 July 2022; 1 crew member remained missing.","Crane Vessel","Loss of life,Total loss of the ship","36828","","47801","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013725","1","FOREST 6 (IMO 9947354)","FOREST 6: SOLAS","HKG","2022-06-27 00:00","Very serious","292172N 0345745E","Jordan","1","0","Contact","The ship was struck by a falling tank container filled with 25 tons of chlorine whilst berthed at berth NO 03, Aqaba New Port, Aqaba, Jordan in LAT. 29 21' 47 ""N, LONG. 034 57' 46"" E on 27 June 2022 during cargo loading.
The tank container was being lifted aboard using a quay crane when it fell onto the deck and released the chlorine gas into the environment. At least 12 people were killed, and another 251 sustained injuries. The extent of damage to the vessel is unknown. Inspection effected. Subsequently arrived at Ain Sukhna, Egypt, on 11 August 2022 for repairs.","Deck Cargo Ship","Loss of life,Serious injuries","8425","","9386","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-03-15",""
"C0013780","1","GULF BARAKAH (IMO 9464314)","GULF BARAKAH: Unknown/unspecified","LBR","2022-06-22 00:00","Very serious"," ","Indian Ocean","1","0","Missing: assumed lost","The vessel enrout from Nhavasheva, India to Sohar, Oman, att 0000 hrs. LT on June 23, 2022, while Second Officer (2/O) was on his way to the bridge, he passed the Cadet’s cabin. The 2/O noted the door was open and the Cadet was not in his cabin. He reported this to 3/O (his reliever), and 3/O immediately went to look for the Cadet in his cabin. The 3/O did not find the Cadet, and reported him missing.
","Container Ship (Fully Cellular)","Loss of life","41391","","51247","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-03-21",""
"C0013695","1","NORD MAGIC (IMO 9392793)","NORD MAGIC: Unknown/unspecified","DNK","2022-06-17 15:00","Very serious","220989N 0914770E","Coastal waters (within 12 miles)","3","0","","On 17 June 2022, the Danish product tanker NORD MAGIC was at anchor off Chittagong, Bangladesh. At about 1500, two service technician entered a cargo tank where they shortly after were found unconscious. The crew managed to bring the technicians out of the tank while they were still alive, but they perished shortly after. Overall, it can be concluded that on NORD MAGIC enclosed space entries were frequent, necessary and did not supersede other work activities on board, e.g. cargo surveyor meetings, discharging cargo, making barges fast, squeezing cargo tanks, keeping anchor watch, etc. The chief officer was pivotal in managing competing demands when several tasks were to be performed simultaneously. In addition, he was the person responsible for managing the work permits authorising enclosed space entries. When he, as the responsible officer, was absent, the functioning of the work permit system failed to meet its intended purpose. The disadvantages of a hierarchy, where only one officer is responsible, were thus manifested. These disadvantages were compounded by a work permit system which was not effective in governing the crewmembers and technicians work practises related to entry into enclosed spaces.","Chemical Tanker","Loss of life","29266","","49999","","23","0","","2","0","0","0","0","0","2023-01-09",""
"C0013627","1","FREJA (-)","FREJA: Unknown/unspecified","DNK","2022-06-13 00:00","Serious","551268N 0083440E","Open sea","3","0","Fire or explosion","As the vessel was fishing for shrimp in low waters the sea-filter got stuck. The crew went to engine to clean the filter and the cooling system. When they were down in the engine they could smell smoke from the deck. They went up and could see the whole wheel-house had caught fire. They tried to extinguish using a CO2-bottle from the engine without luck. They were not able to call for help as the communication system was inside the wheel-house and so were there cell-phones. They waited some time until they knew that some workers on shore started working on the beach, then they sent up emergency rockets and some hand flares taken from the life raft. They left the vessel by ladder as they were able to walk on the seabed as the tide made it possible to walk on the seabed. Later on SAR help came and a helicopter picked them up. Neither of the two fishermen was injured during the fire. Local fire department extinguished the fire.","Fish Catching Vessel","Ship rendered unfit to proceed","","","","","2","0","","0","0","0","0","0","0","2022-09-06",""
"C0013775","1","MSC CARLA 3 (IMO 9124512)","MSC CARLA 3: SOLAS","LBR","2022-06-09 10:15","Very serious","374904N 1442903E","Pacific Ocean off Australia","0","0","Slipping, tumbling, failing of person","The O/S was on the forecastle deck (along with Master, C/O, Bosun & 2 AB’s) when he fell over the side to the main deck below when a wave passed causing heavy pitching. The OS received injuries to his chest (right side) as a result of fall to the main deck. The vessel was diverted to Sydney, Australia where he was declared dead.","Container Ship (Fully Cellular)","Loss of life","31730","","34954","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013640","1","HENRIETTE SAND (IMO 7829235)","HENRIETTE SAND: Unknown/unspecified","DNK","2022-06-09 00:00","Very serious","563206N 0104277E","Port","2","0","Fire or explosion","During operation of the ships excavator to clean the ships deck from sand, the shovel punctured the ships side. The crew left the ship shortly after mooring the ship and the ship foundered less than hour later.","Dredger","Ship rendered unfit to proceed","141","","176","","2","0","","0","0","0","0","0","0","2022-09-26",""
"C0013723","1","DUMAI LINE 5 (IMO 9785213)","DUMAI LINE 5: SOLAS","IDN","2022-06-08 21:15","Very serious","010711N 1035538E","Indonesia","0","0","Fire or explosion","The ship sustained an explosion in the luggage compartment and caught fire whilst anchored in Teluk Senimba off the ferry terminal at Sekupang, Batam, Indonesia, in LAT. 01 07' 12"" N, LONG. 103 55' 38"" E at 21:15 hours LT (UTC+7) ON 8 June 2022.
The blaze was extinguished after 2 hours with local authorities' assistance but sank. 7 crew sustained injuries, 1 dead, and 1 missing. Wreck removal operations using a crane barge commenced on 12 June 2022. The body of the missing crew member was found in the sunken wreck by divers on 19 June 2022. The vessel was reportedly conducting an sts bunker transfer with a sister vessel at the time of the incident.","Passenger Ship","Loss of life,Total loss of the ship","322","","322","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013751","1","Sl TWEETY (IMO 9246322)","Sl TWEETY: Unknown/unspecified","LBR","2022-06-06 03:45","Unspecified"," ","36°14'0""N, 34°21'0""E","0","0","","Fire in No. 5 Cargo Hold.  Damage yet to be determined. Immediate actions: Vessel Emergency Response Activated. Released Fixed CO2 Cylinders into No. 5 Cargo Hold. Sector Akdeniz informed via VHF and Turkish Coastguard vessel is near to vessel.
Awaiting further update from vessel.","Container Ship (Fully Cellular)","","27322","","34418","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
