Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0013440","2","OCEANA (-), XIN QI SHENG 69 (IMO 9872250)","OCEANA: Unknown/unspecified, XIN QI SHENG 69: Unknown/unspecified","CHN","2020-12-13 23:35","Very serious","310700N 1221500E","Beicao Fairway, 8 miles SW of Jigujiao, Shanghai, China","0","0","Collision","The ship was in collision with MV 'OCEANA', took water and capsized near buoy D15 in Beicao Fairway, 8 miles SW of Jigujiao, Shanghai, China, in LAT. 31 07'12""N, LONG. 122 15'20""E at 2335 hours LT (UTC+8) on 13 December 2020. SAR vessels 'DONG HAI JIU 101' and 'DONG HAI JIU 102', patrol vessels 'HAI XUN 103' and 'HAI XUN 102', other vessels and two S-76 helicopters effected SAR operations. 8 crew members were rescued from the sea, the bodies of 3 more were recovered, the remaining 5 crew members were missing. Weather at the scene was 3 metre waves and force 6-7 winds.","Container Ship (Fully Cellular)","Loss of life,Total loss of the ship","12788","China Classification Society (CCS)","19634","","16","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013513","1","LUZON STRAIT (IMO 9317793)","LUZON STRAIT: SOLAS","HKG","2020-12-11 14:32","Very serious"," ","at Bunbury anchorage, Australia","2","0","Working at height","At about 1432 hours on 11 December 2020, a fatal accident happened on board the Hong Kong registered bulk carrier “Luzon Strait” (the vessel) at Bunbury anchorage, Australia.  In the afternoon of 11 December 2020, the Master led the crew members including the Chief Engineer, Fourth Engineer and three able seafarers deck to repair the leakage of the hydraulic oil pipe underneath the cross deck beside the aft bulkhead of the No. 2 cargo hold.  For the purpose of accessing the hydraulic oil pipe, the crew members decided to use the hold cleaning platform (the platform) lifted by the No. 2 ship crane to carry out the repair work.  When the platform was lifted to the height of the hydraulic oil pipe, the Chief Engineer stretched his body out of the railing of the platform intending to secure the platform to the aft bulkhead.  The platform tipped over suddenly, resulting in an able seafarer deck (SM1) who was at the other end of the platform lost his balance and fell over the railing of the platform.  Although the SM1 wore the safety harness with a lanyard, he failed to fasten his lanyard to a strong point.  Eventually, the SM1 fell from a height of about 10 metres with his right side body slammed onto the tank top of the No. 2 cargo hold.  Later that day, the SM1 was declared dead on board by the shore paramedics.
","Bulk Carrier","","19796","","33517","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-04-25",""
"C0013100","1","PRIDE OF KENT (IMO 9015266)","PRIDE OF KENT: Unknown/unspecified","GBR","2020-12-11 12:42","Serious","504616N 0015173E","Port","1","0","Contact","","Passenger / Ro-Ro Cargo Ship","Ship rendered unfit to proceed","30635","Lloyd's Register (LR)","7550","","102","208","","0","0","0","0","0","0","2020-12-11",""
"C0013270","1","UK-171 Spes Salutis (IMO 8432479)","UK-171 Spes Salutis: Unknown/unspecified","NLD","2020-12-09 00:00","Very serious","533999N 0062100E","Open sea","2","0","Capsizing / listing","On 9 December 2020, at around 06.52 hours, something went wrong with the starboard fishing net of the beam trawler UK-171 Spes Salutis. At the time, the vessel was sailing on a westerly heading, approximately 10 nautical miles north of the Rottumerplaat. The vessel was beam trawling at the time. The starboard fishing net jolted suddenly, at which point the crew decided to shut off power to the propellor and to pay out the nets. During attempts to retrieve both nets, the trawl wire of the starboard fishing gear shot over the afterdeck, and the starboard outrigger boom swung suddenly upwards. Eventually, the crew were forced to cut through the starboard trawl wire. When the port gear was subsequently hauled in, the trawler capsized. After the skipper had been helped out of the wheelhouse, the three-man crew climbed onto the keel. One of the crew members was able to notify the home front via a mobile telephone. When the trawler sank, the crew members were able to swim to, activate and climb into the life rafts. Shortly afterwards they were rescued by the fishing boat TH-10 Dirkje. At the moment of the occurrence involving the UK-171, it had already emerged from the investigation into the occurrence with the UK-165 that the UK-165 first capsized before the ship sank. For that reason, the Safety Board decided to combine the two investigations.","Fish Catching Vessel","Total loss of the ship","77","","","","3","0","","0","0","0","0","0","0","2021-07-12",""
"C0013177","1","MARQUESSA (IMO 9308819)","MARQUESSA: SOLAS","LBR","2020-12-08 09:20","Serious","220000N 1215340E","At sea","1","0","Fire or explosion","On December 08, 2020, about 0920 LT an Aframax crude tanker M.T Marquessa (IMO No. 7530444) was en route to Linggi, Malaysia from Laizhou, China with a scheduled call to Singapore for bunkering. She was 55 nautical miles off East of Taiwan coast, position Lat 22-00.0 N Long 121-53.4 E when a fire erupted in the engine room and prompted the Master to send distress calls at 1030h LT. 
The Taiwan Coast Guard responded to the Distress call and dispatched 3 patrol boats and National Air Service Corps (NASC) helicopter for the rescue operation. NASC helicopter has spotted the vessel about 16.5 nautical miles off the coast of Orchid Island, disabled and adrift. The pilot immediately coordinated with the Master on crew evacuation resulting from 8 crew being evacuated out of the 24 crew members.
At 1600 LT, it was reported that fire had been under control. However, the Master had requested the Taiwanese Coast Guard patrol boat, Shun Hu No.1, to stay until the tow tug has arrived. The vessel was taken in tow by salvage tug, Salvage Champion, but was interrupted on December 12, 2020 and the vessel was anchored near Batanes Islands in Luzon Strait. Towing continued by offshore tug Push Osprey the following day, December 13, 2020, until arrival at Port of Manila. There was no injury nor pollution reported. 
","Oil Tanker","Ship rendered unfit to proceed","58446","Bureau Veritas (BV)","104592","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-03-08",""
"C0013820","1","TOORAN (IMO 8654338)","TOORAN: Non-SOLAS","IRN","2020-12-06 15:15","Very serious","295000N 0482600E","Khawr Abd Allah Channel- Persian Gulf","1","0","Capsizing / listing","On 06.12.2020, cargo vessel “Tooran” registered under flag of I.R. of Iran, while at anchor at approach area of Khawr Abd Allah channel and awaiting high tide to enter the channel, to head for her destination port of Umm Qasr in Iraq, had encountered unfavorable weather. The vessel rolled, cargo shifted causing loss of stability and vessel capsized and sank. The incident resulted in total loss of the vessel and her cargo .Six crewmembers managed to launch a life raft and abandon the vessel in time and rescued by an Iraqi tugboat in vicinity of the incident. There was no damage to environment.   ","General Cargo Ship","Total loss of the ship","490","Asia Classification Society","720","steel cargo","6","0","0","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-06-10",""
"C0013572","1","NEW EXCELLENCE (IMO 9502594)","NEW EXCELLENCE: Unknown/unspecified","LBR","2020-12-04 04:15","Very serious"," ","Visakhapatnam","1","1","Others","On December 4, 2020 about 0415 LT, while the vessel was alongside at Visakhapatnam & Terminal Authority (VGCB) at position Lat 17-41.3 N Long 083-13.6 E while discharging coal cargo, the two ABs who were requested by the foreman to rig the cargo light in Cargo hold NO.3. At about 0415 LT, the Duty Officer (2nd.Officer) was called by AB 1 on radio that AB 2 had fell down. The 2/O reported to Chief Officer (C/O), meantime, AB 1 did not respond to 2/O anymore. The 2/O went to check the cargo hold No.3 and found AB-1 lying on the 2nd.The platform of the Australia Ladder. Two rescue crews with Breathing Apparatus (BA Set) entered the Cargo hold while the 2/O called to port control for an ambulance. At 0520 LT, the AB 1 was pulled out, he was unconscious with pulse and breathing. At 0545 LT the AB-2 was pulled out with pulse, unconscious and hard breathing. The AB-2 was administered with oxygen by ship crews. At 0600 LT, the port service arrived and the AB-2 was taken to the hospital. At 0700 LT, the doctor declared that AB-2 had passed away. At 0715 LT, the AB-1 arrived at the hospital for medical treatment. ","Bulk Carrier","Loss of life","43441","","79449","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-08-22","2023-02-20"
"C0013836","1","SAGAMI (IMO 9379911)","SAGAMI: SOLAS","PAN","2020-12-02 19:08","Very serious","291610N 0933968W","Sabine Pilot Station, USA","1","0","Man Overboard","The AB confirmed the pilot ladder was rigged as per instructions whereupon, order by the C/O was given to come up. Suddenly a heavy swell hit the hull of the vessel, white splashes of water came up and after that C/O saw AB Tiwari in the water; C/O immediately reported by walkie-talkie “man overboard” and kept visual contact with him and additionally pointed the torch towards the AB while running towards his movement and then released the buoy on the port side life boat deck which fell very close to the A.B. but after 1.5 to 2 minutes visual contact was lost.","Chemical/Products Tanker","Loss of life","19420","Nippon Kaiji Kyokai (NKK)","33614","liquid cargo","22","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-07-04",""
"C0013564","1","BLUE BOSPORUS (IMO 9370185)","BLUE BOSPORUS: SOLAS","PAN","2020-12-01 13:16","Very serious","491750N 1231119W","Kitsilano Point","1","0","PERSON SERIOUSLY INJURED OR KILLED - Boarding, being on board, falling overboard from the ship","On 01 December 2020, the bulk carrier ""BLUE BOSPORUS"" reported the accidental release of its lifeboat with 2 crew members inside during a lifeboat drill at Anchorage 12 in English Bay, BC. Both crew members were seriously injured and were transferred to hospital in Vancouver, BC. ","Bulk Carrier","Serious injuries","41668","Nippon Kaiji Kyokai (NKK)","78819","","20","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-06-27",""
"C0013595","1","ROMAIN LUCA (-)","ROMAIN LUCA: Unknown/unspecified","FRA","2020-11-29 00:00","Very serious","430680N 0032630E","Coastal waters (within 12 miles)","2","0","Capsizing / listing","On November 29, 2020, around 11:40 p.m., the gilnetter ROMAIN LUCA proceeded for Le-Grau-d'Agde after raising its nets. The captain and the two seamen are in the wheelhouse, where they eat. Simultaneously, the engine and water ingress alarms was activated, while one of the seaman reported that there was water on the deck, at the stern of the vessel. The captain made the same observation by looking the aft deck after having stopped the engine. The heel and trim aft increased rapidly, making any investigation perilous. As the situation seemed out of control, the captain ordered the evacuation of the ship. In an emergency, he failed to give the alert using DSC via VHF. Without wearing life jackets or personal protective equipment against drowning, the captain and the two seamen jumped into the sea. The ROMAIN LUCA capsized within seconds. The seamen quickly gave signs of panic, although the captain tried to help them hold on to the ship's hull. But in few minutes, they disappear from the captain sight. Around midnight the ROMAIN LUCA sank. The captain manages to grab a ring buoy, then the distress beacon, of which he sees the flashing light. About 1 hour and 30 minutes after the beacon was triggered, the Agde SNSM launch was in the area; the captain of ROMAIN LUCA is recovered 15 minutes later in hypothermia and shocked. The bodies of the two seamen will be found by divers from the French Navy on December 3, 2020, near the wreckage of the ship. Following the accidental hooking of the wreck by a trawler, the ROMAIN LUCA was refloated on January 19, 2022. After spending about two hours in water at 16 C, the captain was save by the good functioning of the emergency radio beacon. This was triggered automatically when the ship sank. The investigations carried out in December 2020 and May 2021, near the wreck of the ROMAIN LUCA, did not allow us to retain a sufficiently robust hypothesis on the initial cause of the sinking of the stern and the loss of control of the situation. which resulted. The inspection of the refloated vessel, carried out on January 19, 2022, however, allows us to favor one hypothesis : the disconnection of a water evacuation hose on the deck as being the cause of the sinking of the stern of the ship. The flooding was not limited to the steering gear compartment. When the water reached the level of the stuffing box of the exhaust passage on the watertight bulkhead, it was able to pass into the engine compartment.","Fish Catching Vessel","Loss of life,Serious injuries,Ship rendered unfit to proceed","","","","","","0","","2","0","0","1","0","0","2022-08-03",""
"C0013332","1","AL MURAYKH (IMO 9708863)","AL MURAYKH: Unknown/unspecified","MLT","2020-11-26 00:00","Serious","303080N 0322011E","River","2","0","Machinery damage","On 26 November 2020, the Maltese registered container vessel Al Muraykh was Southbound in the Suez Canal, en route to Jebel Ali, U.A.E. The vessel was on hand steering, with a pilot on board. Navigating in the direction of Tusun Signal Station at the Km 88 mark, the vessel started to lose directional control and veered off course to port. Corrective actions by the crew members did not prevent Al Muraykhs bow running into the West bank and aground. The vessel sustained structural damages in the bulbous bow region. It was discovered that a defective potentiometer was causing erratic deviations, which in turn led to unpredictable responses from the rudder. None of the crew members were aware of this and subsequent interventions did not counter the hydrodynamic forces acting on the ships hull.","Container Ship","Ship rendered unfit to proceed","195636","[Other]","199650","Containers","25","0","0","0","0","0","0","0","0","2021-12-10",""
"C0013430","1","LADY ATHENA (IMO 8672366)","LADY ATHENA: Unknown/unspecified","PHL","2020-11-25 15:30","Very serious","103200N 1200500E","Sulu Sea off Cambari Island","1","0","Capsizing / listing","The ship developed list and subsequently capsized in the Sulu Sea off Cambari Island, Araceli, Palawan, The Philippines, in LAT. 10 32'48 N, LONG 120 05'50""E at 1530 hours LT (UTC+8) on 25 November 2020 in heavy weather. 14 crew evacuated onto a life raft and were rescued by the Philippines Coast Guard SAR team on board of MV 'TITAN'. Another crew member was rescued in later stages of the SAR operations. Remaining 2 crew members were missing. The capsized hull was subsequently washed ashore. ","Landing Craft","Loss of life,Total loss of the ship","893","[No class]","1500","","17","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2023-07-21",""
"C0013343","1","NORTHSEA RATIONAL (IMO 9334296)","NORTHSEA RATIONAL: Unknown/unspecified","MLT","2020-11-25 00:00","Less serious","533261N 0095499E","Port","2","0","Contact","The NORTHSEA RATIONAL cast off from her berth in Hamburg to sail for the North Sea on the morning of 25 November 2020. The ship is a chemical and products tanker sailing under the flag of Malta. The master, the second officer at the helm and the advising port pilot were on the bridge. The Khlbrand was passed first and then the ship swung into the River Elbe. When the NORTHSEA RATIONAL was close to the desired course, the pilot informed the ship's command that it was now possible to switch to autopilot. At this point, the ship was sailing at a speed of 10 kts. The northern bank was not far away on the river. During the switching operation, the rudder suddenly moved to starboard quickly and unintentionally, reaching a rudder angle of 26.7 in the process. It then returned to the midships position after a brief period. The rudder deflection caused the ship to start turning to starboard. The bridge team's efforts to regain control of the helm failed and the NORTHSEA RATIONAL continued to turn toward the bank. The ship's command responded by setting the controllable pitch propeller (CPP) to full astern and issuing an order to let go the port anchor, thus reducing the speed of the allision with a quay wall on the northern side of the river. The allision caused heavy damage to the NORTHSEA RATIONAL's forecastle, which made it necessary to call at a shipyard. The quay wall also suffered heavy damage. Nobody was injured and there was no damage to the environment due to the event. The investigation report deals extensively with the technical investigations into the cause of the accident. It addresses the incorrect configuration of the steering gear control system, the resulting heavy load on electronic components and the sudden failure of a relay. Three expert reports were prepared in the course of these investigations, the findings of which also form part of this report. The safety recommendation made in this report refers to the improvement of the steering gear control manufacturer's manual.","Chemical Tanker","","3991","[Other]","6232","Other liquid","14","0","0","0","0","0","0","0","0","2021-12-30",""
"C0013511","1","CSSC HE MEI (IMO 9830070)","CSSC HE MEI: SOLAS","HKG","2020-11-21 09:15","Very serious","251550N 1204190E","At Sea","1","0","Wiork at height","On 21 November 2020 at about 0915 hours, a fatal accident happened to an able seafarer deck (AB1) when Hong Kong registered bulk carrier CSSC He Mei (the vessel) was en route in ballast condition from Xiamen, China to her loading port in Abbot Point, Australia. After a toolbox talk on the cargo hold (C/H) cleaning work on the morning of 21 November 2020, six crew members, including AB1 led by the Bosun, commenced the cleaning work.  The Bosun as assisted by an ordinary seaman removed a bolted cover of an opening on the cross deck at the aft of the No. 2 C/H to allow a fire hose passing through it for C/H water washing.  After removing the cover, the Bosun left and the ordinary seaman went down to the No. 2 C/H for water washing using a fire hose inside.  When AB1 was alone washing the aft end hatch coaming of the No. 2 C/H on the cross deck by using fire hose, he stepped into the opening accidently and fell to the bottom of No. 2 C/H.  Although an emergency rescue team was organized immediately and first aid treatment was applied to AB1, he was declared dead on board at about 1000 hours
","Bulk Carrier","","44153","","81523","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2022-04-25",""
"C0013125","1","Joanna C (BM265) (-)","Joanna C (BM265): Non-SOLAS","GBR","2020-11-21 06:01","Very serious","504360N 0000910E","south of Newhaven ","0","0","Capsizing / listing","Capsize and sinking of UK registered scallop dredger, south of Newhaven with the loss of one life, and one crewman missing.","","Loss of life,Total loss of the ship","28.58","","","","3","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0013318","1","MINERVA VERA (IMO 9411941)","MINERVA VERA: Unknown/unspecified","MLT","2020-11-21 00:00","Very serious","255538N 0513664E","Port","2","0","Fire or explosion","On the morning of 21 November 2020, whilst Minerva Vera was loading cargo at the port of Ras Laffan, Qatar, a fire broke out in a cabin on B-deck of the accommodation block. The crew members immediately tried to fight the fire but were unable to do so until a shore fire team arrived. As a result of this accident, two crew members lost their lives, most probably after they suffered the effects of smoke inhalation. The damages to the vessel were limited to her accommodation. Based on the collected information, the MSIU concluded that in all probability, the fire was caused by a fault in the cabins overhead light.","Oil Tanker","Loss of life,Ship rendered unfit to proceed","81467","[Other]","158022","Other liquid","25","0","0","2","0","0","0","0","0","2021-12-03",""
"C0013435","1","CARMEN (IMO 8502949)","CARMEN: Non-SOLAS","BRA","2020-11-20 04:55","Serious","220700S 0400000W","South Atlantic Ocean, 67 miles E of Farol de Sao Thome, Brazail","0","0","Capsizing / listing","The ship developed list and sank 30 minutes later in the Campos Basin in the South Atlantic Ocean, 67 miles E of Farol de Sao Thome, Rio de Janeiro, Brazil in LAT. 22 07'23""S, LONG. 040 00'20""W at 0455 hours LT (UTC-3) on 20 November 2020. All 18 crew abandoned the ship to life rafts, 17 crew members were subsequently rescued by AHTS 'SEACOR GRANT' and the remaining crew member was rescued by PSV 'UP CORAL' and taken ashore. No injuries was reported. ","Anchor Handling Tug Supply","Total loss of the ship","371","","380","","18","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
