FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
OtherIncident,20240901,,0,0,1,Cruise ships crew member injured their back while lifting linen.,35.4514,139.6406,otherIncidentType,other incident,139.6406 35.4514
OtherIncident,20240901,,0,0,1,A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine.,-37.8448,144.9328,otherIncidentType,other incident,144.9328 -37.8448
NavigationalIssues,20241101,,0,0,0,"Cruise ship lost steering control, steering restored soon after.",-37.865,144.928333,navigationalIssuesType,loss of direction,144.928333 -37.865
CollisionAndContact,20241101,,0,0,0,A general cargo vessel collided with a berthed vessel during manoeuvring near the berth.,53.6065,-0.7161,collisionAndContactType,collision,-0.7161 53.6065
StrandingAndGrounding,20241201,,0,0,0,A general cargo vessel grounded whilst alongside.,53.606333,-0.714517,strandingAndGroundingType,grounding,-0.714517 53.606333
floodingAndSinking,20240201,,0,0,0,Recreational craft took on water while alongside resulting in loss of vessel.,52.0335,1.1523,floodingAndSinkingType,flooding,1.1523 52.0335
StrandingAndGrounding,20240101,,0,0,0,General cargo vessel grounded resulting in no damage.,53.3474,-2.7311,strandingAndGroundingType,grounding,-2.7311 53.3474
FireAndExplosion,20240101,,0,0,0,A ro-pax vessel appeared to have a fire on one of the vehicles that was loaded,53.3176,-4.6202,fireAndExplosionType,fire,-4.6202 53.3176
CollisionAndContact,20240201,,0,0,0,A pilot vessel and a bunker barge collided,53.3328,-4.6115,collisionAndContactType,collision,-4.6115 53.3328
CollisionAndContact,20240401,,0,0,0,A ro-pax vessel sustained damage to the hull plating whilst berthing in heavy weather.,53.3178,-4.62,collisionAndContactType,collision,-4.62 53.3178
OtherIncident,20240801,,0,0,1,A passenger vessel passenger fell down a staircase and was injured.,56.4713,-5.7056,otherIncidentType,other incident,-5.7056 56.4713
CollisionAndContact,20241201,,0,0,0,A ro-pax vessel was using a piling to assist departure when it collapsed,53.319333,-4.619833,collisionAndContactType,contact,-4.619833 53.319333
StrandingAndGrounding,20241201,,0,0,0,A ro-pax ferry went aground at the berth due to high winds.,55.8483,-6.1046,strandingAndGroundingType,grounding,-6.1046 55.8483
NavigationalIssues,20240101,,0,0,1,A contractor working onboard a ro-pax vessel was injured under the stern ramp.,53.741,-0.281,navigationalIssuesType,sailing hinderance,-0.281 53.741
OtherIncident,20240401,,0,0,1,A ro-ro vessel crew member sustained a crush injury from a trailer.,53.669167,-0.233883,otherIncidentType,other incident,-0.233883 53.669167
CollisionAndContact,20240601,,0,0,0,A tanker struck the quay side whilst approaching a jetty.,53.7407,-0.2737,collisionAndContactType,collision,-0.2737 53.7407
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,53.5033,0.163,hullAndEngineAccessoryDamageType,outfit damage,0.163 53.5033
StrandingAndGrounding,20240401,,0,0,0,A fishing vessel grounded whilst in port.,56.034167,-3.5035,strandingAndGroundingType,grounding,-3.5035 56.034167
CollisionAndContact,20240501,,0,0,0,A cargo vessel made contact with the wall whilst being raised in a lock and sustained damage,53.450933,-3.017667,collisionAndContactType,contact,-3.017667 53.450933
StrandingAndGrounding,20240901,,0,0,0,Recreational sailing craft grounded at harbour entrance resulting in all POB being recovered safely  but loss of vessel,55.5483,-4.6799,strandingAndGroundingType,grounding,-4.6799 55.5483
StrandingAndGrounding,20240601,,0,0,0,An inland waterways passenger vessel grounded.,57.3251,-4.4421,strandingAndGroundingType,grounding,-4.4421 57.3251
OtherIncident,20240101,,0,0,0,A single handed sailing vessel skipper fell overboard and self-recovered.,55.4256,-5.6028,otherIncidentType,safety hinderance and near misses,-5.6028 55.4256
FireAndExplosion,20240101,,0,0,0,A ro-pax vessel experienced smoke coming through the ventilation due to overheating in the fan room.,50.79305,-1.107217,fireAndExplosionType,fire,-1.107217 50.79305
StrandingAndGrounding,20240101,,0,0,0,A dredger's overnight anchor slipped and the vessel ran aground and the 3 crew abandoned the vessel.,50.624667,-3.334333,strandingAndGroundingType,grounding,-3.334333 50.624667
CollisionAndContact,20240301,,0,0,0,Ro-Ro made contact with with mooring resulting in damage to the port aft voith blades and mooring.,50.8112,-1.1141,collisionAndContactType,contact,-1.1141 50.8112
NavigationalIssues,20240301,,0,0,0,"RO-PAX vessel was recovering its rescue boat when control of the winch was lost, causing the rescue boat to drop and the winch handle to spin without control",50.7929,-1.1071,navigationalIssuesType,sailing hinderance,-1.1071 50.7929
HullAndEngineAccessoryDamage,20240301,,0,0,0,"Passenger Ro-Ro experienced davit malfunction when running drill, resulting in near miss.",50.7929,-1.1073,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-1.1073 50.7929
HullAndEngineAccessoryDamage,20240401,,0,0,0,Cruise ship's pilot ladder did not conform to SOLAS regulations.,50.8072,-1.0994,hullAndEngineAccessoryDamageType,outfit damage,-1.0994 50.8072
HullAndEngineAccessoryDamage,20240401,,0,0,0,Cruise ship's pilot ladder did not conform to SOLAS regulations.,50.8098,-1.1039,hullAndEngineAccessoryDamageType,outfit damage,-1.1039 50.8098
StrandingAndGrounding,20240501,,0,0,0,Passenger /Ro-Ro vessel grounded due to tide running out while maintenance taking place in the slipway.,55.4233,-5.6007,strandingAndGroundingType,grounding,-5.6007 55.4233
FireAndExplosion,20240501,,0,0,0,Pilot boat suffered a starboard engine fire which resulted in loss of power and towed back to harbour,50.787033,-1.1065,fireAndExplosionType,fire,-1.1065 50.787033
floodingAndSinking,20240501,,0,0,0,Service vessel suffered from water ingress,50.8096,-1.1052,floodingAndSinkingType,flooding,-1.1052 50.8096
OtherIncident,20240701,,0,0,1,"Cargo vessels crew member slipped and fell into the void bilge resulting in injuries to the head, body and ankle",50.8089,-1.0923,otherIncidentType,other incident,-1.0923 50.8089
StrandingAndGrounding,20240701,,0,0,0,Sailing vessel ran aground resulting 4 POB being recovered to safety.,55.450167,-5.538667,strandingAndGroundingType,grounding,-5.538667 55.450167
CollisionAndContact,20240901,,0,0,0,Passenger vessel collided with a passenger ferry alongside whilst departing resulting in minor damage.,50.7995,-1.1121,collisionAndContactType,collision,-1.1121 50.7995
HullAndEngineAccessoryDamage,20241001,,0,0,0,Passenger ro-ro ship's pilot ladder did not conform to SOLAS regulations.,50.8095,-1.1114,hullAndEngineAccessoryDamageType,outfit damage,-1.1114 50.8095
OtherIncident,20240901,,0,0,1,A service vessels crew member injured themself whilst lifting fuel hose.,50.7961,-1.1112,otherIncidentType,other incident,-1.1112 50.7961
FireAndExplosion,20241001,,0,0,0,A fishing vessel suffered a fire onboard that was extinguished by the fire service,55.4241,-5.6024,fireAndExplosionType,fire,-5.6024 55.4241
FireAndExplosion,20241001,,0,0,0,A products barge had an explosion in a battery cabinate.,50.809,-1.0925,fireAndExplosionType,explosion,-1.0925 50.809
StrandingAndGrounding,20241201,,0,0,0,A sailing yacht briefly grounded whilst assisting another vessel,50.7998,-1.1183,strandingAndGroundingType,grounding,-1.1183 50.7998
OtherIncident,20240101,,0,0,1,Ro-pax crew member slipped and fell whilst walking.,57.0068,-5.8267,otherIncidentType,other incident,-5.8267 57.0068
FireAndExplosion,20240501,,0,0,1,A trawler had a tumble dryer fire onboard.,50.3991,-3.5123,fireAndExplosionType,fire,-3.5123 50.3991
CollisionAndContact,20240601,,0,0,0,A fishing vessel collided with a moored fishing vessel whilst manoeuvring,57.006,-5.825833,collisionAndContactType,collision,-5.825833 57.006
OtherIncident,20240801,,0,0,1,Cruise ships passenger tripped resulting in closed fracture to the spine,24.777,125.2689,otherIncidentType,other incident,125.2689 24.777
StrandingAndGrounding,20240201,,0,0,0,An offshore support vessel and a creel vessel had a close quarters situation and the support vessel grounded,57.692,-1.9972,strandingAndGroundingType,grounding,-1.9972 57.692
OtherIncident,20240801,,0,0,1,Fishing vessel three crew member were overcome by diesel fumes,57.6909,-1.9971,otherIncidentType,other incident,-1.9971 57.6909
OtherIncident,20240901,,0,0,0,Sailing yacht crew member fell overboard into water during berthing operations,55.9956,-3.4083,otherIncidentType,safety hinderance and near misses,-3.4083 55.9956
OtherIncident,20240701,,0,0,1,A cruise ship passenger sustained a fractured ankle whilst dancing.,-35.043333,150.758333,otherIncidentType,safety hinderance and near misses,150.758333 -35.043333
StrandingAndGrounding,20240101,,0,0,0,A service vessel grounded on a sandbar.,51.329333,1.4225,strandingAndGroundingType,grounding,1.4225 51.329333
CollisionAndContact,20240301,,0,0,0,A general cargo vessel struck the quay whilst berthing.,51.4925,-2.7207,collisionAndContactType,collision,-2.7207 51.4925
OtherIncident,20240701,,0,0,1,Crew transfer vessels crew member caught fingers in mooring line resulting in injuries to the fore and middle finger.,51.3302,1.4195,otherIncidentType,safety hinderance and near misses,1.4195 51.3302
StrandingAndGrounding,20240901,,0,0,0,Service vessel grounded while berthing resulted in no damage and re-floated on high tide.,51.3308,1.4212,strandingAndGroundingType,grounding,1.4212 51.3308
OtherIncident,20240101,,0,0,1,A high speed passenger vessel was berthing when a crew member sustained a severe hand injury.,50.8943,-1.4052,otherIncidentType,other incident,-1.4052 50.8943
CollisionAndContact,20240101,,0,0,0,"Near miss between 2 tankers due to the weather, no damage was reported.",56.026333,-3.689833,collisionAndContactType,contact,-3.689833 56.026333
HullAndEngineAccessoryDamage,20240101,,0,0,0,Container vessel's pilot ladder did not conform to SOLAS regulations,50.9028,-1.4247,hullAndEngineAccessoryDamageType,outfit damage,-1.4247 50.9028
HullAndEngineAccessoryDamage,20240201,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,50.9062,-1.4338,hullAndEngineAccessoryDamageType,outfit damage,-1.4338 50.9062
HullAndEngineAccessoryDamage,20240201,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,50.9057,-1.433,hullAndEngineAccessoryDamageType,outfit damage,-1.433 50.9057
HullAndEngineAccessoryDamage,20240201,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,50.8847,-1.3929,hullAndEngineAccessoryDamageType,outfit damage,-1.3929 50.8847
HullAndEngineAccessoryDamage,20240201,,0,0,0,Cargo ship used a dangerously weighted heaving line resulting in no injuries,50.8914,-1.3995,hullAndEngineAccessoryDamageType,outfit damage,-1.3995 50.8914
NavigationalIssues,20240301,,0,0,0,An oil products tanker spilled about 5litres of gas oil overboard.,50.89,-1.396,navigationalIssuesType,drifting,-1.396 50.89
CollisionAndContact,20240301,,0,0,0,An inshore tug experienced shut down of one of its main engines and struck the quayside as a result.,50.8917,-1.3986,collisionAndContactType,contact,-1.3986 50.8917
HullAndEngineAccessoryDamage,20240401,,0,0,0,Dangerously weighted heaving line,50.8872,-1.4033,hullAndEngineAccessoryDamageType,outfit damage,-1.4033 50.8872
HullAndEngineAccessoryDamage,20240401,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,50.8343,-1.3142,hullAndEngineAccessoryDamageType,outfit damage,-1.3142 50.8343
HullAndEngineAccessoryDamage,20240301,,0,0,0,A container vessel used an unsafely weighted heaving line.,50.9048,-1.454,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-1.454 50.9048
HullAndEngineAccessoryDamage,20240401,,0,0,0,A container vessel used an unsafely weighted heaving line.,50.9043,-1.4528,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-1.4528 50.9043
HullAndEngineAccessoryDamage,20240401,,0,0,0,Cruise ship's pilot ladder did not conform to SOLAS regulations.,50.8582,-1.3533,hullAndEngineAccessoryDamageType,outfit damage,-1.3533 50.8582
FireAndExplosion,20240401,,0,0,0,A bulk carrier loading scrap metal had a fire in the cargo hold.,50.907217,-1.437783,fireAndExplosionType,fire,-1.437783 50.907217
HullAndEngineAccessoryDamage,20240401,,0,0,0,Bunkering tanker's pilot ladder did not conform to SOLAS regulations.,50.8479,-1.3463,hullAndEngineAccessoryDamageType,outfit damage,-1.3463 50.8479
OtherIncident,20240501,,0,0,1,Cruise ship crew member slipped and injured themself,50.8924,-1.3996,otherIncidentType,safety hinderance and near misses,-1.3996 50.8924
OtherIncident,20240401,,0,0,1,A tug crew member slipped and injured their shoulder,50.9028,-1.4258,otherIncidentType,other incident,-1.4258 50.9028
OtherIncident,20240501,,0,0,1,A cruise ship passenger fell and fractured their wrist,50.8921,-1.3997,otherIncidentType,other incident,-1.3997 50.8921
OtherIncident,20240501,,0,0,1,A port tender crew member placed their fingers within a clamp whilst mooring and sustained an injury,50.8949,-1.4043,otherIncidentType,other incident,-1.4043 50.8949
OtherIncident,20240601,,0,0,1,Two cargo support blocks fell from a stack and struck the hand of a worker that was holding onto a rail below,50.9048,-1.4298,otherIncidentType,other incident,-1.4298 50.9048
OtherIncident,20240701,,0,0,1,Ro-pax vessel crew member fell through a hatch resulting in a fractured pelvis,50.8823,-1.3947,otherIncidentType,other incident,-1.3947 50.8823
HullAndEngineAccessoryDamage,20240701,,0,0,0,A container ship used a dangerously weighted heaving line,50.903,-1.4295,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-1.4295 50.903
HullAndEngineAccessoryDamage,20240701,,0,0,0,A cargo ship used a dangerously weighted heaving line,50.9005,-1.4186,hullAndEngineAccessoryDamageType,outfit damage,-1.4186 50.9005
HullAndEngineAccessoryDamage,20240701,,0,0,0,Cargo ship using dangerously weighted heaving lines.,50.91,-1.4423,hullAndEngineAccessoryDamageType,outfit damage,-1.4423 50.91
CollisionAndContact,20240701,,0,0,0,A tug damaged the edge of a quay whilst pushing against it.,50.9091,-1.4629,collisionAndContactType,contact,-1.4629 50.9091
CollisionAndContact,20240701,,0,0,0,"A ro-ro cargo vessel made contact with an upright pile, resulting in damage to both.",50.8935,-1.421333,collisionAndContactType,contact,-1.421333 50.8935
HullAndEngineAccessoryDamage,20240801,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,50.8867,-1.3926,hullAndEngineAccessoryDamageType,outfit damage,-1.3926 50.8867
OtherIncident,20240801,,0,0,1,Not available Under Permanent Cooperation Framework (PCF),50.9015,-1.4199,otherIncidentType,other incident,-1.4199 50.9015
HullAndEngineAccessoryDamage,20240801,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,50.8295,-1.3095,hullAndEngineAccessoryDamageType,outfit damage,-1.3095 50.8295
HullAndEngineAccessoryDamage,20240801,,0,0,0,A container vessel used an incorrectly weighted heaving line.,50.9048,-1.4533,hullAndEngineAccessoryDamageType,outfit damage,-1.4533 50.9048
OtherIncident,20240901,,0,0,1,A cruise ship passenger tripped resulting in a dislocated shoulder,50.898333,-1.416667,otherIncidentType,other incident,-1.416667 50.898333
HullAndEngineAccessoryDamage,20241001,,0,0,0,A container vessels gangway swung back into vessels side with crew members still on the gangway.,50.9042,-1.4278,hullAndEngineAccessoryDamageType,outfit damage,-1.4278 50.9042
HullAndEngineAccessoryDamage,20241001,,0,0,0,Cargo ship's pilot ladder did not conform to SOLAS regulations.,50.8824,-1.3938,hullAndEngineAccessoryDamageType,outfit damage,-1.3938 50.8824
OtherIncident,20241001,,0,0,1,"A cruise ship passenger tripped whilst walking down the stairs and twisted their ankle, resulting in a fracture..",50.89,-1.4,otherIncidentType,other incident,-1.4 50.89
HullAndEngineAccessoryDamage,20241001,,0,0,0,General cargo vessel pilot ladder did not conform to SOLAS regulations,50.8958,-1.3897,hullAndEngineAccessoryDamageType,outfit damage,-1.3897 50.8958
FireAndExplosion,20241101,,0,0,0,A workboat's rubber fender caught fire after it shifted over the exhaust.,50.8883,-1.3933,fireAndExplosionType,fire,-1.3933 50.8883
OtherIncident,20241101,,0,0,1,A bulk carrier crew member broke their leg during unmooring operations.,50.906833,-1.436,otherIncidentType,safety hinderance and near misses,-1.436 50.906833
FireAndExplosion,20241101,,0,0,0,A deck cargo pontoon experienced a fire in the engine room.,50.8913,-1.3996,fireAndExplosionType,fire,-1.3996 50.8913
CollisionAndContact,20241201,,0,0,0,A fishing vessel made contact with a moored service vessel during adverse weather,60.445,-1.271667,collisionAndContactType,collision,-1.271667 60.445
CollisionAndContact,20241201,,0,0,0,A tug collided with a mooring dolphin resulting in damage,60.455167,-1.287167,collisionAndContactType,collision,-1.287167 60.455167
CollisionAndContact,20240601,,0,0,0,A search and rescue vessel made contact with a vessel alongside during a training exercise,53.2917,-3.8408,collisionAndContactType,collision,-3.8408 53.2917
floodingAndSinking,20240301,,0,0,0,A fishing vessel was taking on water due to a loose exhaust clamp.,58.9873,-2.958,floodingAndSinkingType,flooding,-2.958 58.9873
OtherIncident,20240201,,0,0,1,"Passenger Ship, crew members hand slipped while opening a ball volves resulting in laceration to the right hand.",51.0434,2.3733,otherIncidentType,other incident,2.3733 51.0434
FireAndExplosion,20240301,,0,0,0,A ro-pax vessel experienced a fire in the galley.,51.0201,2.1895,fireAndExplosionType,fire,2.1895 51.0201
OtherIncident,20240301,,0,0,1,Passenger Ro-Ro's crew member tripped resulting in closed fracture to right hand.,51.047367,2.361117,otherIncidentType,other incident,2.361117 51.047367
FireAndExplosion,20240501,,0,0,0,A ro-pax vessel experienced a fire in waste skip on a vehicle deck,51.0187,2.1837,fireAndExplosionType,fire,2.1837 51.0187
OtherIncident,20240601,,0,0,1,A  passenger ferry crew member trapped their finger in a closing door,51.0202,2.1874,otherIncidentType,safety hinderance and near misses,2.1874 51.0202
OtherIncident,20240601,,0,0,1,Ro-pax vessel crewmember sustained compressed air injury.,51.0182,2.1851,otherIncidentType,other incident,2.1851 51.0182
HullAndEngineAccessoryDamage,20241101,,0,0,0,Cargo ship's pilot ladder did not conform to SOLAS regulations.,55.9557,-4.7603,hullAndEngineAccessoryDamageType,outfit damage,-4.7603 55.9557
CollisionAndContact,20231201,,0,0,0,LPG tanker under tow by two tugs and one of the tugs collided with the tanker.,54.6036,-1.1566,collisionAndContactType,collision,-1.1566 54.6036
OtherIncident,20240401,,0,0,1,Tug crew member caught a finger in a chain link resulting in an amputation,51.507833,0.142,otherIncidentType,other incident,0.142 51.507833
CollisionAndContact,20240801,,0,0,0,A bulk carrier struck the quay side whilst the vessel was swinging.,54.6058,-1.1602,collisionAndContactType,collision,-1.1602 54.6058
FireAndExplosion,20241001,,0,0,0,Bulk carrier suffered a suspected fire coming out from the funnel stack,54.606067,-1.150717,fireAndExplosionType,fire,-1.150717 54.606067
CollisionAndContact,20241001,,0,0,0,General cargo vessel made contact with jetty during berthing,51.5189,0.1337,collisionAndContactType,contact,0.1337 51.5189
HullAndEngineAccessoryDamage,20241101,,0,0,0,Tanker ship's pilot ladder did not conform to SOLAS regulations.,54.6277,-1.1584,hullAndEngineAccessoryDamageType,outfit damage,-1.1584 54.6277
CollisionAndContact,20241101,,0,0,0,Fishing vessel made contact with another vessel resulting in significant damage and a near miss injury.,54.9066,-5.0236,collisionAndContactType,collision,-5.0236 54.9066
HullAndEngineAccessoryDamage,20241101,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,54.6062,-1.1604,hullAndEngineAccessoryDamageType,outfit damage,-1.1604 54.6062
OtherIncident,20240901,,0,0,1,Passenger ro-ro vessels crew member suffered steam burn resulting in first degree burns.,55.8065,-5.4833,otherIncidentType,other incident,-5.4833 55.8065
CollisionAndContact,20240301,,0,0,0,Container ship made contact with the quay resulting in damage to the hull and bulwark.,51.4313,0.6917,collisionAndContactType,contact,0.6917 51.4313
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.5017,0.6418,hullAndEngineAccessoryDamageType,outfit damage,0.6418 51.5017
HullAndEngineAccessoryDamage,20240801,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.7399,0.0888,hullAndEngineAccessoryDamageType,outfit damage,0.0888 51.7399
HullAndEngineAccessoryDamage,20240801,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.5033,0.6509,hullAndEngineAccessoryDamageType,outfit damage,0.6509 51.5033
HullAndEngineAccessoryDamage,20240801,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.4961,0.6907,hullAndEngineAccessoryDamageType,outfit damage,0.6907 51.4961
HullAndEngineAccessoryDamage,20240801,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.5016,0.5417,hullAndEngineAccessoryDamageType,outfit damage,0.5417 51.5016
HullAndEngineAccessoryDamage,20240901,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations.,51.5021,0.5441,hullAndEngineAccessoryDamageType,outfit damage,0.5441 51.5021
NavigationalIssues,20240101,,0,0,0,A sail training vessel experienced engine failure and water ingress.,50.769032,-1.159807,navigationalIssuesType,sailing hinderance,-1.159807 50.769032
HullAndEngineAccessoryDamage,20231201,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.488,0.9089,hullAndEngineAccessoryDamageType,outfit damage,0.9089 51.488
HullAndEngineAccessoryDamage,20231201,,0,0,0,A general cargo vessel experienced thruster failure whilst manoeuvring.,54.626883,-5.888367,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-5.888367 54.626883
FireAndExplosion,20240101,,0,0,0,An inland waterways passenger vessel had a suspected fire.,54.399167,-2.945833,fireAndExplosionType,fire,-2.945833 54.399167
OtherIncident,20240101,,0,0,1,A cruise ship passenger fell in their cabin and fractured their hip.,48.8,-5.566667,otherIncidentType,other incident,-5.566667 48.8
OtherIncident,20230801,,0,0,1,A commercial sightseeing vessel passenger fell and sustained a minor injury.,51.2151,-4.1097,otherIncidentType,safety hinderance and near misses,-4.1097 51.2151
HullAndEngineAccessoryDamage,20240101,,0,0,0,A bulk carrier had an inadequate pilot ladder arrangement.,55.013,-1.3996,hullAndEngineAccessoryDamageType,outfit damage,-1.3996 55.013
floodingAndSinking,20231201,,0,1,0,A single handed sailing yacht was found and the skipper was missing.,57.90413,-5.1972,floodingAndSinkingType,sinking,-5.1972 57.90413
OtherIncident,20240101,,0,0,1,A crew member fell overboard from a bunker barge and was recovered alive.,50.586583,-2.4151,otherIncidentType,safety hinderance and near misses,-2.4151 50.586583
OtherIncident,20240101,,0,0,1,A fishing vessel crew member inhaled poisonous fumes and was evacuated.,51.05695,1.397783,otherIncidentType,other incident,1.397783 51.05695
HullAndEngineAccessoryDamage,20240101,,0,0,0,A general cargo vessel had an inadequate pilot ladder arrangement.,56.058333,-3.091667,hullAndEngineAccessoryDamageType,outfit damage,-3.091667 56.058333
HullAndEngineAccessoryDamage,20240101,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.9167,1.3347,hullAndEngineAccessoryDamageType,hull damage,1.3347 51.9167
HullAndEngineAccessoryDamage,20240101,,0,0,0,A bulk carrier had an inadequate pilot ladder arrangement.,53.5058,-3.189,hullAndEngineAccessoryDamageType,outfit damage,-3.189 53.5058
HullAndEngineAccessoryDamage,20240101,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,53.5046,-3.1869,hullAndEngineAccessoryDamageType,outfit damage,-3.1869 53.5046
HullAndEngineAccessoryDamage,20240101,,0,0,0,Bulk carrier's pilot ladder did not conform to SOLAS regulations,53.506,-3.2493,hullAndEngineAccessoryDamageType,outfit damage,-3.2493 53.506
NavigationalIssues,20240101,,0,0,0,A fishing vessel experienced propulsion failure with its gear deployed and was towed.,50.907833,-4.74775,navigationalIssuesType,drifting,-4.74775 50.907833
OtherIncident,20240101,,0,0,1,A cruise ship crew member fell down the stairs and was disembarked.,-35.475,153.715,otherIncidentType,safety hinderance and near misses,153.715 -35.475
OtherIncident,20240101,,0,0,1,A pilot snapped a tendon in their finger whilst disembarking from a vessel.,50.725,-0.9,otherIncidentType,other incident,-0.9 50.725
StrandingAndGrounding,20240101,,0,0,0,A search and rescue vessel ran aground during a night time training exercise.,51.062767,-4.208817,strandingAndGroundingType,grounding,-4.208817 51.062767
NavigationalIssues,20240101,,0,0,0,A ro-pax vessel suffered engine failure and was disabled for about 10 minutes.,50.665,-1.021667,navigationalIssuesType,drifting,-1.021667 50.665
CollisionAndContact,20240101,,0,0,0,A passenger vessel and a cargo vessel had a near miss collision in a port.,50.8231,-1.3027,collisionAndContactType,collision,-1.3027 50.8231
HullAndEngineAccessoryDamage,20240101,,0,0,0,A general cargo vessel had an inadequate pilot ladder arrangement.,51.4636,0.7558,hullAndEngineAccessoryDamageType,outfit damage,0.7558 51.4636
OtherIncident,20240101,,0,0,1,A cruise ship crew member cut their hand whilst cutting meat.,-34.341667,169.135,otherIncidentType,other incident,169.135 -34.341667
HullAndEngineAccessoryDamage,20240101,,0,0,0,A bulk carrier had an inadequate pilot ladder arrangement.,51.4927,0.8499,hullAndEngineAccessoryDamageType,hull damage,0.8499 51.4927
OtherIncident,20240101,,0,0,1,Crew member fell overboard from yacht into the water and was recovered by kayaker with no injuries,50.823,-0.8121,otherIncidentType,other incident,-0.8121 50.823
OtherIncident,20240101,,0,0,1,A cruise ship crew member fell and sustained a fractured foot.,44.313333,-8.916667,otherIncidentType,safety hinderance and near misses,-8.916667 44.313333
OtherIncident,20231201,,0,0,1,A crew transfer vessel crew member fell over after vessel was hit by a wave and sustained trunk injury,51.986,1.4663,otherIncidentType,safety hinderance and near misses,1.4663 51.986
StrandingAndGrounding,20240101,,0,0,0,Fishing vessel grounded with no damage,57.221967,-5.643033,strandingAndGroundingType,grounding,-5.643033 57.221967
