FeatureType,date,ShipsInvolved,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20201016,MY DURU (IMO 8602000),,,,Decreasing main engine oil pressure during towing operation.,37.2833,25.2333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,25.2333 37.2833
FireAndExplosion,20201015,ANGEL 17 (IMO 9208605),,,,Fatal electrocution due to arc welding in engine room.,0.3,168.6694,fireAndExplosionType,fire,168.6694 0.3000
StrandingAndGrounding,20201012,HEIN SENIOR (IMO 9092642),0.0,,0.0,Fv Z.575-HEIN SENIOR grounded off the coast of Vlieland due to a main engine failure.,53.3114,5.05,strandingAndGroundingType,grounding,5.0500 53.3114
OtherIncident,20201012,MISS BENEDETTA (IMO 9541306),1.0,,0.0,Crew member trapped by falling steel plates during handling operation.,16.6247,-80.0167,otherIncidentType,safety hindrance and near misses,-80.0167 16.6247
OtherIncident,20201009,DARYA TAPTI (IMO 9712462),,,,Fatal accident during fumigation process on board a bulk carrier.,20.6656,163.0858,otherIncidentType,safety hindrance and near misses,163.0858 20.6656
CollisionAndContact,20201007,"CB20 (-), La Cassidaigne (-)",0.0,,3.0,"Mooring vessel CB20 collided with supply vessel LA CASSIDAIGNE in port area, resulting in CB20 sinking and crew rescue.",43.4081,4.9942,collisionAndContactType,collision,4.9942 43.4081
StrandingAndGrounding,20201006,ECO LUX (IMO 9844239),0.0,,3.0,"The high-speed craft ECO LUX grounded on Castelv island, resulting in a crack in the starboard hull and flooding.",38.7775,1.4275,strandingAndGroundingType,grounding,1.4275 38.7775
FloodingAndSinking,20201004,SERVET ANA (IMO 9443774),,,,Capsizing of rescue boat resulted in fatality and serious injury during crew transfer.,5.47,-9.9167,floodingAndSinkingType,capsizing,-9.9167 5.4700
StrandingAndGrounding,20201003,BBR-26-30 (-),,,,Tugboat ADMIRAL KOLCHAK stranded and barge partially sank after grounding incident in Kara Sea.,77.7214,104.2939,strandingAndGroundingType,grounding,104.2939 77.7214
OtherIncident,20201003,ALEXANDRA A (IMO 9356684),0.0,,0.0,A crew member fell overboard while fixing an oil leak on a container vessel.,37.5825,23.7483,otherIncidentType,safety hindrance and near misses,23.7483 37.5825
FireAndExplosion,20200928,X-PRESS GODAVARI (IMO 9353735),0.0,,0.0,Container on deck emitting smoke containing lithium-ion batteries resulted in a fire incident.,20.9914,88.2247,fireAndExplosionType,fire,88.2247 20.9914
HullAndEngineAccessoryDamage,20200925,YUAN SUI HAI (IMO 9806938),,,,An engine crew member suffered fatal injuries due to a fuel oil injector valve failure.,1.8667,89.1167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,89.1167 1.8667
StrandingAndGrounding,20200925,BE BOP (-),2.0,,0.0,"Sailing vessel drifted and grounded in Ajaccio bay, resulting in fatalities.",41.8911,8.78,strandingAndGroundingType,grounding,8.7800 41.8911
FloodingAndSinking,20200923,CARMELO A (IMO 9054389),,,,"The vessel capsized and sank while fishing near ""El Rincón.""",-40.2,-60.65,floodingAndSinkingType,sinking,-60.6500 -40.2000
CollisionAndContact,20200923,"ICE ROSE (IMO 8311106), RFS KAZANETS 311 (-)",0.0,,0.0,Collision between ICE ROSE and 311 KAZANETS in dense fog due to late recognition of risk of collision.,55.5047,12.6842,collisionAndContactType,collision,12.6842 55.5047
HullAndEngineAccessoryDamage,20200920,NOU CALPE QUATRE (-),0.0,,2.0,Breakage of a shackle during towing operation causing injuries to crew members.,37.5886,-0.6806,hullAndEngineAccessoryDamageType,other facility damage,-0.6806 37.5886
OtherIncident,20200920,YSALINE (IMO 9823364),0.0,,1.0,Crew member fell from height during cargo loading operation.,51.3514,3.2208,otherIncidentType,safety hindrance and near misses,3.2208 51.3514
HullAndEngineAccessoryDamage,20200917,GOLD DREDGER (IMO 8959271),0.0,,1.0,Deck crane failure resulted in serious injury to barge master.,35.8942,14.5072,hullAndEngineAccessoryDamageType,outfit damage,14.5072 35.8942
FireAndExplosion,20200914,VOLCAN DE TENO (IMO 9221346),0.0,,0.0,"A fire broke out in the engine room of NGV VOLCAN DE TENO while at sea, requiring emergency response and engine shutdown.",35.9722,-5.3192,fireAndExplosionType,fire,-5.3192 35.9722
OtherIncident,20200914,BALTIC JASMINE (IMO 9181156),1.0,,,Possible crew member fatality due to fall onboard vessel.,-3.1683,-80.0714,otherIncidentType,safety hindrance and near misses,-80.0714 -3.1683
CollisionAndContact,20200913,MSC MIA (IMO 9839466),,,,The vessel collided with a quay container crane boom during maneuvering.,39.4528,-0.3222,collisionAndContactType,contact,-0.3222 39.4528
StrandingAndGrounding,20200912,CHANG SHUN I (IMO 8976841),,,,"Vessel ran aground due to machinery failure, subsequently sinking with crew rescued by Japanese Coastguard.",34.7297,129.4506,strandingAndGroundingType,grounding,129.4506 34.7297
FireAndExplosion,20200911,RESPONDER (IMO 9215206),,,,Fire outbreak in the engine room led to the abandonment and subsequent sinking of the vessel.,34.1111,128.5386,fireAndExplosionType,fire,128.5386 34.1111
OtherIncident,20200909,RIMONA (IMO 9468750),1.0,,0.0,Fatal accident involving crew member during cargo loading operation.,38.7736,26.9253,otherIncidentType,safety hindrance and near misses,26.9253 38.7736
StrandingAndGrounding,20200905,SAGAFJORD (IMO 7943079),0.0,,0.0,"Grounding incident due to delayed maneuver, passengers safely evacuated.",55.6736,12.0736,strandingAndGroundingType,grounding,12.0736 55.6736
StrandingAndGrounding,20200903,CHERNOMORETS-34 (IMO 8228581),,,,Vessel stranded ashore during stormy weather resulting in loss of crew members.,42.8683,131.3928,strandingAndGroundingType,grounding,131.3928 42.8683
CollisionAndContact,20200903,WAVERLEY (IMO 5386954),,,,"Passenger vessel collided with pier at Brodick, Isle of Arran, causing injuries and vessel damage.",55.5856,-5.1394,collisionAndContactType,collision,-5.1394 55.5856
OtherIncident,20200902,TOKYO SPIRIT (IMO 9669627),,,,Fatal accident involving crew member found in cargo hold.,41.6164,-175.575,otherIncidentType,safety hindrance and near misses,-175.5750 41.6164
CollisionAndContact,20200831,"L'AMI CONSTANT (IMO 7110660), SIR GAETAN (IMO 9065340)",,,,"Ship collided with towed barge, sustained hull damage, and subsequently sank.",-20.05,57.7333,collisionAndContactType,collision,57.7333 -20.0500
CollisionAndContact,20200830,"SBI PERSEUS (IMO 9712151), 闽晋渔05119 (-)",,,,Vessel collided with Chinese fishing vessel resulting in sinking and missing crew members.,25.4167,120.6914,collisionAndContactType,collision,120.6914 25.4167
NavigationalIssues,20200829,ELSE (IMO 9006320),0.0,,0.0,Sailing hindrance near the lock gate in the NOK.,54.3758,10.1528,navigationalIssuesType,loss of direction,10.1528 54.3758
StrandingAndGrounding,20200827,RUBINA (IMO 9725512),0.0,,0.0,Non-responsive rudder led to grounding incident on River Weser.,53.3692,8.5056,strandingAndGroundingType,grounding,8.5056 53.3692
OtherIncident,20200827,NOR NAOMI (IMO 9689251),,,,Motorman found dead in watertight sliding door.,32.8167,35.0,otherIncidentType,safety hindrance and near misses,35.0000 32.8167
NavigationalIssues,20200827,MESSILA (IMO 9294953),,,,Ship grounded due to officer falling asleep on watch.,36.4369,27.4103,navigationalIssuesType,drifting,27.4103 36.4369
OtherIncident,20200826,TIGRIS (IMO 9443841),,,,Ship's Master pronounced deceased after fall in Accommodation.,53.5733,5.4056,otherIncidentType,safety hindrance and near misses,5.4056 53.5733
CollisionAndContact,20200822,Seadogz (-),,,,Fatal injury to a passenger on a RIB following a collision with a navigation marker.,50.8667,-1.3833,collisionAndContactType,collision,-1.3833 50.8667
OtherIncident,20200819,Diamond Emblem (-),,,,Fatal person overboard incident from a Broads cruiser.,52.6247,1.7269,otherIncidentType,safety hindrance and near misses,1.7269 52.6247
FloodingAndSinking,20200819,Nova Estrelinha (-),0.0,,0.0,Net caught in propeller led to massive flooding and vessel sinking.,41.1617,-8.7061,floodingAndSinkingType,capsizing,-8.7061 41.1617
FireAndExplosion,20200818,X-PRESS MONTE BIANCO (IMO 9276341),0.0,,0.0,A fire incident in the engine-room caused by spontaneous ignition of fuel-soaked insulation material.,40.5331,1.3442,fireAndExplosionType,fire,1.3442 40.5331
FloodingAndSinking,20200816,Diamond D (SN100) (-),,,,Capsize and sinking of UK registered fishing vessel.,55.25,-0.9667,floodingAndSinkingType,sinking,-0.9667 55.2500
OtherIncident,20200813,STRATEGIC EQUITY (IMO 9689902),,,,Crew member fatality due to spring line accident during mooring operation.,-32.9917,-67.6172,otherIncidentType,safety hindrance and near misses,-67.6172 -32.9917
OtherIncident,20200813,LOVELAND ISLAND (IMO 9573957),,,,Chief Engineer reported missing onboard vessel during maneuvering towards port limit of Port Sudan.,20.0917,38.8556,otherIncidentType,safety hindrance and near misses,38.8556 20.0917
FireAndExplosion,20200813,BERLIN (IMO 9587855),0.0,,3.0,Fire in engine room on German ferry,54.2386,12.0694,fireAndExplosionType,fire,12.0694 54.2386
FloodingAndSinking,20200809,MARHVIN (-),0.0,,0.0,Fishing vessel MARHVIN sank due to uncontrollable flooding in the engine room despite assistance from nearby vessel.,44.3267,-2.95,floodingAndSinkingType,sinking,-2.9500 44.3267
CollisionAndContact,20200808,Rib Tickler (-),,,,Fatal injury to a passenger on a RIB following a collision with a jetski.,53.2283,-4.1667,collisionAndContactType,collision,-4.1667 53.2283
OtherIncident,20200807,DELTA ONE (-),0.0,,11.0,"Seats fell overboard due to inadequate fastening after repair work, some life jackets failed to inflate.",60.6622,17.475,otherIncidentType,safety hindrance and near misses,17.4750 60.6622
CollisionAndContact,20200806,PEARL ISLAND (IMO 9801720),0.0,,0.0,Contact incident during berthing operation resulted in hull damage and flooding.,55.7053,21.1386,collisionAndContactType,contact,21.1386 55.7053
FireAndExplosion,20200804,MORITZ SCHULTE (IMO 9220794),,,,Fire on tanker resulting in one fatality.,51.2881,4.3539,fireAndExplosionType,fire,4.3539 51.2881
CollisionAndContact,20200803,"ACEROMAR (IMO 9552082), HEIN SENIOR (IMO 9092642)",0.0,,0.0,Collision between Fv Z.575- HEIN SENIOR and Mv ACEROMAR resulting in damages above the waterline.,53.7722,6.0886,collisionAndContactType,collision,6.0886 53.7722
floodingAndSinking,20200801,RAJA 4 (IMO 7812517),,,,"The ship capsized and sank in the Gulf of Thailand, resulting in casualties and a salvage operation.",9.4167,99.85,,capsizing,99.8500 9.4167
HullAndEngineAccessoryDamage,20200729,NAVIG8 AXINITE (IMO 9719771),,,,Fatal injury of Third Engineer due to deck steam condensate line sight glass failure.,49.3219,-4.6836,hullAndEngineAccessoryDamageType,other facility damage,-4.6836 49.3219
OtherIncident,20200727,PACIFIC MARS (IMO 9714642),,,,Fatal accident during routine maintenance operation,8.0083,82.5581,otherIncidentType,safety hindrance and near misses,82.5581 8.0083
OtherIncident,20200724,May C (-),,,,Skipper of fishing boat drowned after falling overboard without a personal flotation device.,57.3806,7.2528,otherIncidentType,safety hindrance and near misses,7.2528 57.3806
FloodingAndSinking,20200719,MYANMA GONE YI (-),,,,Vessel sank due to flooding caused by propeller hitting a floating log.,16.1167,97.0333,floodingAndSinkingType,sinking,97.0333 16.1167
FloodingAndSinking,20200713,PHUONG DONG 59 (IMO 8664852),,,,"Ship broke into two and sank in heavy weather, crew rescued safely.",20.6333,107.0833,floodingAndSinkingType,sinking,107.0833 20.6333
CollisionAndContact,20200711,"ALANIS (IMO 9468085), FLORENCE SPIRIT (IMO 9314600)",,,,"Collision between general cargo vessels ""FLORENCE SPIRIT"" and ""ALANIS"" in Welland Canal, ON.",42.9867,-79.2236,collisionAndContactType,collision,-79.2236 42.9867
FireAndExplosion,20200708,ASPHALT (IMO 9120891),,,,"Fire broke out in the engine room during maintenance work, resulting in severe damage and loss of life.",16.5247,70.8361,fireAndExplosionType,fire,70.8361 16.5247
FloodingAndSinking,20200707,ATLANT 2 (-),,,,"Fishing vessel sank due to water entering fish hold, crew rescued.",42.9167,131.9167,floodingAndSinkingType,sinking,131.9167 42.9167
HullAndEngineAccessoryDamage,20200707,TREVOMAR (-),1.0,,0.0,Equipment failure during auxiliary boat retrieval led to fatality.,37.8994,-8.8375,hullAndEngineAccessoryDamageType,other facility damage,-8.8375 37.8994
CollisionAndContact,20200706,"MATRIX PRIDE (IMO 9228796), MATRIX TRIUMPH (IMO 9251286)",,,,Two crew members seriously injured during STS operation due to fouled messenger line causing tension on stern lines.,5.4011,5.0789,collisionAndContactType,contact,5.0789 5.4011
HullAndEngineAccessoryDamage,20200706,FUNING (IMO 9690913),,,,Vessel lost power and suffered severe propeller damage due to entanglement with mooring cable.,-37.6167,176.15,hullAndEngineAccessoryDamageType,machineries and propulsion damage,176.1500 -37.6167
NavigationalIssues,20200706,LEDRA (IMO 9591181),1.0,,0.0,Crew member reported missing during navigation in South China Sea.,3.2942,105.4275,navigationalIssuesType,drifting,105.4275 3.2942
NavigationalIssues,20200703,SEEWIND 1 (IMO 9227936),0.0,,2.0,"Catamaran SEEWIND I encountered unexpected wave system, causing injuries and minor damage.",53.8522,7.8356,navigationalIssuesType,sailing hindrance,7.8356 53.8522
OtherIncident,20200702,SN QUEEN (IMO 9197179),,,,Crew member fell from tween deck resulting in serious injury.,-6.1333,106.9,otherIncidentType,safety hindrance and near misses,106.9000 -6.1333
FloodingAndSinking,20200702,PONGOMA (-),,,,"Fishing vessel ""PONGOMA"" sank after hull flooding and steering failure, crew rescued.",59.9278,25.5247,floodingAndSinkingType,sinking,25.5247 59.9278
FireAndExplosion,20200630,DANMARK (IMO 5086279),0.0,,1.0,"Deflagration of pure ethanol during ""Corona disinfection"" routine on sail training ship resulted in severe burns to a cadet.",54.3333,11.0914,fireAndExplosionType,fire,11.0914 54.3333
FireAndExplosion,20200630, (IMO 8712166),0.0,,0.0,"Deflagration of pure ethanol during ""Corona disinfection"" routine on sail training ship DANMARK resulted in severe burns to a cadet.",54.3333,11.0914,fireAndExplosionType,fire,11.0914 54.3333
FireAndExplosion,20200628,IOLCOS UNITY (IMO 9313058),1.0,,0.0,"A fitter investigating a hydraulic oil leak ignited a fire with an angle grinder, resulting in fatal burn injuries.",-12.79,-38.4878,fireAndExplosionType,fire,-38.4878 -12.7900
HullAndEngineAccessoryDamage,20200627,"LIBERTY V (IMO 0000757), VIENNA WOOD N (IMO 9593713)",,,,Collision with FV 'LIBERTY 5' resulted in hull damage.,13.2,120.3167,hullAndEngineAccessoryDamageType,hull damage,120.3167 13.2000
StrandingAndGrounding,20200625,ARROW (IMO 9119414),,,,Grounding of Isle of Man registered ro-ro freight vessel in Aberdeen Harbour.,57.1489,-2.0794,strandingAndGroundingType,grounding,-2.0794 57.1489
OtherIncident,20200615,SUN MASTER (IMO 9460681),,,,Fatality during maintenance work on deck crane,22.4139,119.35,otherIncidentType,safety hindrance and near misses,119.3500 22.4139
StrandingAndGrounding,20200615,BREAKTHROUGH (IMO 9095723),,,,"Vessel stranded and broke in two after breaking anchor chain on Tarkwa Bay Beach, Lagos.",6.3833,3.3833,strandingAndGroundingType,stranding,3.3833 6.3833
CollisionAndContact,20200612,"CAPE AMANDA (IMO 9552410), Luwei Jing Yu 60208 (-)",,,,M.V. Cape Amanda collided with a Chinese fishing boat resulting in sinking.,33.075,123.5556,collisionAndContactType,collision,123.5556 33.0750
OtherIncident,20200611,SOETKIN (IMO 9222065),0.0,,1.0,Fisherman injured during fishing operation requiring Medevac.,45.7208,-2.8422,otherIncidentType,safety hindrance and near misses,-2.8422 45.7208
OtherIncident,20200610,SFERA (IMO 9304576),,,,Fatal fall during cargo hold cleaning operation,11.7944,129.3917,otherIncidentType,safety hindrance and near misses,129.3917 11.7944
HullAndEngineAccessoryDamage,20200610,ALULA (IMO 9525883),0.0,,1.0,Fitter injured due to lathe machine accident.,35.85,120.9667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,120.9667 35.8500
FireAndExplosion,20200607,WALTZ (IMO 9402665),,,,Fire caused by refrigerant gas leak in the engine room.,22.1,-96.2833,fireAndExplosionType,fire,-96.2833 22.1000
OtherIncident,20200605,NODUS (IMO 9497464),,,,Shore technician electrocuted during boiler repair.,37.8694,23.5111,otherIncidentType,safety hindrance and near misses,23.5111 37.8694
StrandingAndGrounding,20200605,KARLSO (IMO 8705890),0.0,,0.0,Fishing vessel KARLS ran aground due to navigation monitoring deficiencies and crew fatigue.,57.7031,11.6103,strandingAndGroundingType,grounding,11.6103 57.7031
FloodingAndSinking,20200604,BEHBAHAN (IMO 7648966),3.0,,,Ship sank near buoy no. 5 off Khawr Abd Allah channel.,29.7167,48.6167,floodingAndSinkingType,sinking,48.6167 29.7167
FloodingAndSinking,20200603,RS200 SUSANNE N (-),0.0,,0.0,"Ship capsized while hauling fishing gear, crew rescued by helicopter.",56.5225,7.9858,floodingAndSinkingType,capsizing,7.9858 56.5225
FloodingAndSinking,20200531,Globetrotter (-),,,,Foundering and loss of leisure fishing vessel with one fatality,53.9333,-3.0667,floodingAndSinkingType,sinking,-3.0667 53.9333
OtherIncident,20200530,CAPE KEYSTONE (IMO 9463334),,,,The Chief Officer of M/V Cape Keystone was reported missing during a voyage.,-8.4722,115.8694,otherIncidentType,safety hindrance and near misses,115.8694 -8.4722
FireAndExplosion,20200529,Anxhelo (-),,,,"Fishing boat ""Anxhelo"" caught fire in the engine room, leading to its sinking.",41.35,19.3,fireAndExplosionType,fire,19.3000 41.3500
FloodingAndSinking,20200528,CASTILLO DE VALVERDE (IMO 9300374),,,,Bosun washed overboard during deteriorating weather conditions.,-34.6331,25.7139,floodingAndSinkingType,sinking,25.7139 -34.6331
FloodingAndSinking,20200525,Norma G (-),,,,"Capsize of a leisure cabin cruiser in the Camel Estuary, Cornwall resulting in one fatality.",50.55,-4.9333,floodingAndSinkingType,capsizing,-4.9333 50.5500
HullAndEngineAccessoryDamage,20200524,APL England (IMO 9218650),,,,APL England experienced heavy rolls leading to loss of containers and main engine shutdown.,-34.3769,151.9214,hullAndEngineAccessoryDamageType,hull damage,151.9214 -34.3769
HullAndEngineAccessoryDamage,20200517,RIMINI (IMO 9421635),0.0,,0.0,The vessel collided with a lock gate due to malfunctioning propeller system.,53.8986,9.1575,hullAndEngineAccessoryDamageType,machineries and propulsion damage,9.1575 53.8986
HullAndEngineAccessoryDamage,20200514,DEARBHLA (IMO 9008457),0.0,,0.0,Fishing vessel Dearbhla struck rocks causing heavy contact damage to the vessel's bows.,52.0833,-10.5442,hullAndEngineAccessoryDamageType,hull damage,-10.5442 52.0833
OtherIncident,20200514,APL CALIFORNIA (IMO 9350044),0.0,,1.0,Bosun injured during tug line operation,29.95,121.8858,otherIncidentType,safety hindrance and near misses,121.8858 29.9500
FireAndExplosion,20200514,Med Tuncer (IMO 9830599),0.0,,0.0,Fire broke out inside the lifeboat during battery tests but was swiftly extinguished with interior damage only.,51.3256,4.3214,fireAndExplosionType,fire,4.3214 51.3256
OtherIncident,20200512,Seafarer (IMO 9686314),1.0,,0.0,Fatal accident involving fall from height during enclosed space access,37.4997,12.3667,otherIncidentType,safety hindrance and near misses,12.3667 37.4997
OtherIncident,20200508,MOUNT EVEREST (IMO 9470985),0.0,,1.0,Mooring line failure resulted in serious facial injuries to the third officer during a mooring operation.,35.8358,14.5503,otherIncidentType,safety hindrance and near misses,14.5503 35.8358
FloodingAndSinking,20200507,LE MARIE LOUIS (-),0.0,,0.0,Fishing vessel experienced massive flooding leading to sinking during fishing operation.,46.6942,-3.3667,floodingAndSinkingType,flooding,-3.3667 46.6942
CollisionAndContact,20200501,FT STURLA (IMO 9447287),0.0,,1.0,Two crew members struck by a mooring rope during mooring operations.,51.3358,3.8175,collisionAndContactType,contact,3.8175 51.3358
StrandingAndGrounding,20200423,LA MANCHE (IMO 8226739),,,,The vessel ran aground.,-62.2,-58.95,strandingAndGroundingType,grounding,-58.9500 -62.2000
OtherIncident,20200421,AR VEL DRO (-),0.0,,0.0,"Sailor dragged into sea by hook line, declared dead upon arrival at port.",48.8,-2.4389,otherIncidentType,safety hindrance and near misses,-2.4389 48.8000
floodingAndSinking,20200415,WAN DA (IMO 8904927),,,,The ship capsized in the South China Sea with subsequent drifting into Indonesian waters.,1.3672,104.3436,,capsizing,104.3436 1.3672
